Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,12.9,14.2,8.9,309.0,45.0
2026-02-27 01:00:00+00:00,14.3,15.9,10.6,347.0,42.0
2026-02-27 02:00:00+00:00,18.7,20.8,12.8,388.0,40.0
2026-02-27 03:00:00+00:00,20.4,22.5,13.5,403.0,45.0
2026-02-27 04:00:00+00:00,19.4,22.9,11.1,370.0,65.0
2026-02-27 05:00:00+00:00,20.1,24.6,7.1,312.0,94.0
2026-02-27 06:00:00+00:00,21.1,26.1,4.0,262.0,116.0
2026-02-27 07:00:00+00:00,19.4,24.2,2.6,233.0,127.0
2026-02-27 08:00:00+00:00,18.2,22.8,2.0,214.0,132.0
2026-02-27 09:00:00+00:00,17.9,22.4,1.9,202.0,134.0
2026-02-27 10:00:00+00:00,17.9,22.2,1.0,194.0,136.0
2026-02-27 11:00:00+00:00,17.9,22.0,0.5,195.0,135.0
2026-02-27 12:00:00+00:00,21.1,26.0,3.6,216.0,120.0
2026-02-27 13:00:00+00:00,23.1,27.9,13.6,281.0,103.0
2026-02-27 14:00:00+00:00,30.5,34.8,27.2,367.0,79.0
2026-02-27 15:00:00+00:00,36.6,40.4,35.7,415.0,61.0
2026-02-27 16:00:00+00:00,36.9,40.0,34.3,391.0,56.0
2026-02-27 17:00:00+00:00,29.8,32.0,27.7,330.0,57.0
2026-02-27 18:00:00+00:00,22.4,24.0,21.5,279.0,59.0
2026-02-27 19:00:00+00:00,16.7,18.5,17.4,252.0,61.0
2026-02-27 20:00:00+00:00,13.9,16.4,13.6,234.0,64.0
2026-02-27 21:00:00+00:00,12.9,15.7,10.6,228.0,65.0
2026-02-27 22:00:00+00:00,12.5,15.4,8.3,233.0,63.0
2026-02-27 23:00:00+00:00,12.6,15.3,6.8,249.0,59.0
2026-02-28 00:00:00+00:00,14.4,17.2,10.6,279.0,45.0
2026-02-28 01:00:00+00:00,15.5,18.3,12.3,341.0,42.0
2026-02-28 02:00:00+00:00,18.9,21.8,14.5,418.0,39.0
2026-02-28 03:00:00+00:00,20.7,23.1,14.9,454.0,45.0
2026-02-28 04:00:00+00:00,19.0,23.3,11.9,415.0,68.0
2026-02-28 05:00:00+00:00,18.5,24.9,7.2,336.0,100.0
2026-02-28 06:00:00+00:00,17.9,25.3,3.5,272.0,124.0
2026-02-28 07:00:00+00:00,16.6,24.0,2.1,242.0,133.0
2026-02-28 08:00:00+00:00,16.5,22.8,1.7,227.0,133.0
2026-02-28 09:00:00+00:00,16.9,22.6,1.7,219.0,133.0
2026-02-28 10:00:00+00:00,17.1,22.5,0.5,213.0,136.0
2026-02-28 11:00:00+00:00,17.2,22.5,0.0,215.0,137.0
2026-02-28 12:00:00+00:00,21.4,27.2,3.2,236.0,124.0
2026-02-28 13:00:00+00:00,22.9,28.3,14.2,295.0,104.0
2026-02-28 14:00:00+00:00,31.4,36.6,29.5,374.0,76.0
2026-02-28 15:00:00+00:00,40.0,45.2,42.8,424.0,53.0
2026-02-28 16:00:00+00:00,47.5,52.6,51.9,420.0,40.0
2026-02-28 17:00:00+00:00,54.1,59.1,58.8,388.0,31.0
2026-02-28 18:00:00+00:00,60.5,65.7,63.4,359.0,25.0
2026-02-28 19:00:00+00:00,64.3,69.6,66.2,344.0,19.0
2026-02-28 20:00:00+00:00,67.5,72.9,66.5,332.0,16.0
2026-02-28 21:00:00+00:00,65.4,70.8,62.6,317.0,15.0
2026-02-28 22:00:00+00:00,54.1,60.1,51.0,288.0,19.0
2026-02-28 23:00:00+00:00,41.3,49.8,35.1,255.0,26.0
2026-03-01 00:00:00+00:00,20.7,38.4,8.4,249.0,52.0
2026-03-01 01:00:00+00:00,19.4,38.0,10.2,298.0,48.0
2026-03-01 02:00:00+00:00,21.5,41.6,12.7,372.0,44.0
2026-03-01 03:00:00+00:00,21.9,39.1,13.4,414.0,48.0
2026-03-01 04:00:00+00:00,20.5,47.4,10.9,389.0,66.0
2026-03-01 05:00:00+00:00,21.8,53.6,6.7,331.0,93.0
2026-03-01 06:00:00+00:00,21.9,54.2,3.5,282.0,114.0
2026-03-01 07:00:00+00:00,19.3,44.9,2.2,257.0,125.0
2026-03-01 08:00:00+00:00,16.8,36.1,1.8,242.0,132.0
2026-03-01 08:15:00+00:00,41.32,82.86,135.892,0.444,95.316
2026-03-01 09:00:00+00:00,16.5,33.4,1.8,236.0,136.0
2026-03-01 10:00:00+00:00,16.6,32.1,0.9,232.0,141.0
