Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-03-29 11:00:00,35.8,32.0,7.4,1006.9,
2026-03-29 12:00:00,35.9,31.0,7.4,1006.3,
2026-03-29 13:00:00,33.9,36.0,5.5,1006.9,
2026-03-29 14:00:00,31.8,43.0,5.5,1007.5,
2026-03-29 15:00:00,29.8,50.0,3.7,1008.0,
2026-03-29 16:00:00,29.3,53.0,3.7,1008.5,
2026-03-29 17:00:00,28.7,57.0,3.7,1008.9,
2026-03-29 18:00:00,28.2,60.0,3.7,1009.4,
2026-03-29 19:00:00,27.5,61.0,3.7,1009.1,
2026-03-29 20:00:00,26.8,62.0,3.7,1008.9,
2026-03-29 21:00:00,26.1,64.0,3.7,1008.6,
2026-03-29 22:00:00,25.8,65.0,3.7,1008.5,
2026-03-29 23:00:00,25.6,66.0,3.7,1008.4,
2026-03-30 00:00:00,25.3,67.0,3.7,1008.3,
