Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-18 04:15:00+00:00,33.32,54.65,0.47,0.069,5.09
2026-02-18 06:30:00+00:00,33.88,55.85,0.32,0.08,6.14
2026-02-18 08:15:00+00:00,36.24,55.94,0.508,0.069,6.08
2026-02-18 10:15:00+00:00,33.05,56.77,0.244,0.069,3.6
2026-02-18 12:15:00+00:00,34.3,56.22,0.451,0.069,3.96
2026-02-18 14:15:00+00:00,34.58,55.57,0.244,0.08,7.48
2026-02-18 16:15:00+00:00,34.3,56.12,0.244,0.069,4.75
2026-02-19 08:00:00+00:00,30.83,55.94,0.094,0.069,8.22
2026-02-19 10:00:00+00:00,29.3,58.06,0.038,0.069,3.45
2026-02-19 12:30:00+00:00,31.52,56.4,0.038,0.08,4.17
2026-02-19 14:15:00+00:00,33.05,56.31,0.244,0.069,7.48
2026-02-19 16:15:00+00:00,34.16,56.49,0.32,0.069,6.35
2026-02-19 18:15:00+00:00,31.94,55.85,0.188,0.069,8.42
2026-02-19 20:15:00+00:00,33.33,55.02,0.244,0.08,6.23
2026-02-19 22:15:00+00:00,33.05,54.65,0.188,0.069,6.2
2026-02-19 23:00:00+00:00,32.77,55.75,0.414,0.08,12.48
2026-02-23 04:00:00+00:00,36.1,56.68,0.526,0.08,66.85
2026-02-23 06:00:00+00:00,31.94,56.95,0.526,0.069,10.95
2026-02-23 08:15:00+00:00,38.05,57.78,0.865,0.069,9.11
2026-02-23 10:00:00+00:00,36.66,59.35,0.526,0.069,7.48
2026-02-23 12:00:00+00:00,33.46,58.98,0.301,0.069,3.6
2026-02-23 14:00:00+00:00,33.74,58.15,0.263,0.069,4.63
2026-02-23 16:00:00+00:00,34.16,57.88,0.207,0.069,4.01
2026-02-23 18:00:00+00:00,34.99,57.23,0.564,0.069,7.96
2026-02-23 18:15:00+00:00,36.1,57.51,0.658,0.069,6.33
2026-02-23 20:00:00+00:00,33.74,56.95,0.263,0.069,4.4
2026-02-23 22:00:00+00:00,32.91,56.95,0.188,0.069,3.73
2026-02-24 00:00:00+00:00,35.13,57.51,0.338,0.069,5.09
2026-02-24 02:15:00+00:00,33.6,57.42,0.113,0.069,3.33
2026-02-24 04:00:00+00:00,31.94,57.69,0.056,0.069,4.25
2026-02-24 06:00:00+00:00,32.77,58.06,0.32,0.069,6.43
