Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-26 12:00:00,23.6,31.0,4.7,1006.4,
2026-02-26 13:00:00,,,,,
2026-02-26 14:00:00,,,,,
2026-02-26 15:00:00,,,,,
2026-02-26 16:00:00,,,,,
2026-02-26 17:00:00,,,,,
2026-02-26 18:00:00,18.8,47.0,2.2,1008.4,
2026-02-26 19:00:00,,,,,
2026-02-26 20:00:00,,,,,
2026-02-26 21:00:00,,,,,
2026-02-26 22:00:00,,,,,
2026-02-26 23:00:00,,,,,
2026-02-27 00:00:00,14.5,67.0,4.3,1008.9,
2026-02-27 01:00:00,,,,,
2026-02-27 02:00:00,,,,,
2026-02-27 03:00:00,,,,,
2026-02-27 04:00:00,,,,,
2026-02-27 05:00:00,,,,,
2026-02-27 06:00:00,28.0,21.0,11.2,1008.8,
2026-02-27 07:00:00,,,,,
2026-02-27 08:00:00,,,,,
2026-02-27 09:00:00,,,,,
2026-02-27 10:00:00,,,,,
2026-02-27 11:00:00,,,,,
2026-02-27 12:00:00,23.3,32.0,5.8,1006.0,
2026-02-27 13:00:00,,,,,
2026-02-27 14:00:00,,,,,
2026-02-27 15:00:00,,,,,
2026-02-27 16:00:00,,,,,
2026-02-27 17:00:00,,,,,
2026-02-27 18:00:00,16.3,58.0,5.4,1007.7,
2026-02-27 19:00:00,,,,,
2026-02-27 20:00:00,,,,,
2026-02-27 21:00:00,,,,,
2026-02-27 22:00:00,,,,,
2026-02-27 23:00:00,,,,,
2026-02-28 00:00:00,13.7,65.0,7.2,1007.5,
2026-02-28 01:00:00,,,,,
2026-02-28 02:00:00,,,,,
2026-02-28 03:00:00,,,,,
2026-02-28 04:00:00,,,,,
2026-02-28 05:00:00,,,,,
2026-02-28 06:00:00,28.2,23.0,13.0,1008.4,
2026-02-28 07:00:00,,,,,
2026-02-28 08:00:00,,,,,
2026-02-28 09:00:00,,,,,
2026-02-28 10:00:00,,,,,
2026-02-28 11:00:00,,,,,
2026-02-28 12:00:00,23.4,39.0,6.5,1006.6,
2026-02-28 13:00:00,,,,,
2026-02-28 14:00:00,,,,,
2026-02-28 15:00:00,,,,,
2026-02-28 16:00:00,,,,,
2026-02-28 17:00:00,,,,,
2026-02-28 18:00:00,16.4,67.0,5.0,1009.0,
2026-02-28 19:00:00,,,,,
2026-02-28 20:00:00,,,,,
2026-02-28 21:00:00,,,,,
2026-02-28 22:00:00,,,,,
2026-02-28 23:00:00,,,,,
2026-03-01 00:00:00,14.9,76.0,9.0,1008.8,
2026-03-01 01:00:00,,,,,
2026-03-01 02:00:00,,,,,
2026-03-01 03:00:00,,,,,
2026-03-01 04:00:00,,,,,
2026-03-01 05:00:00,,,,,
2026-03-01 06:00:00,29.2,25.0,13.7,1009.8,
