Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,30.9,31.9,10.7,415.0,53.0
2026-02-27 01:00:00+00:00,35.4,36.6,10.0,404.0,57.0
2026-02-27 02:00:00+00:00,43.0,43.9,8.9,372.0,62.0
2026-02-27 03:00:00+00:00,33.1,34.3,7.5,343.0,73.0
2026-02-27 04:00:00+00:00,31.9,33.8,5.6,325.0,93.0
2026-02-27 05:00:00+00:00,33.5,35.2,3.4,311.0,117.0
2026-02-27 06:00:00+00:00,34.8,36.2,1.8,297.0,136.0
2026-02-27 07:00:00+00:00,33.2,34.5,1.1,282.0,146.0
2026-02-27 08:00:00+00:00,32.1,33.3,1.1,269.0,151.0
2026-02-27 09:00:00+00:00,32.5,33.6,1.4,259.0,152.0
2026-02-27 10:00:00+00:00,33.2,34.1,2.3,253.0,151.0
2026-02-27 11:00:00+00:00,34.1,35.0,3.5,252.0,146.0
2026-02-27 12:00:00+00:00,38.8,39.5,5.8,259.0,128.0
2026-02-27 13:00:00+00:00,41.9,42.5,7.4,282.0,117.0
2026-02-27 14:00:00+00:00,43.8,44.4,9.6,314.0,101.0
2026-02-27 15:00:00+00:00,42.0,42.6,10.7,340.0,88.0
2026-02-27 16:00:00+00:00,36.0,36.6,9.7,355.0,80.0
2026-02-27 17:00:00+00:00,30.7,31.5,7.7,364.0,75.0
2026-02-27 18:00:00+00:00,28.9,29.8,6.1,367.0,72.0
2026-02-27 19:00:00+00:00,28.8,29.8,5.5,359.0,70.0
2026-02-27 20:00:00+00:00,29.6,30.9,5.3,346.0,70.0
2026-02-27 21:00:00+00:00,30.7,32.1,5.3,342.0,69.0
2026-02-27 22:00:00+00:00,32.0,33.5,5.6,362.0,67.0
2026-02-27 23:00:00+00:00,33.6,35.4,6.2,391.0,65.0
2026-02-28 00:00:00+00:00,33.8,35.4,6.4,405.0,63.0
2026-02-28 01:00:00+00:00,37.8,39.6,6.3,389.0,65.0
2026-02-28 02:00:00+00:00,41.7,43.3,6.1,358.0,69.0
2026-02-28 03:00:00+00:00,38.4,40.6,5.5,331.0,77.0
2026-02-28 04:00:00+00:00,39.6,41.9,4.3,316.0,93.0
2026-02-28 05:00:00+00:00,41.1,43.1,2.7,305.0,113.0
2026-02-28 06:00:00+00:00,41.9,43.8,1.6,294.0,129.0
2026-02-28 07:00:00+00:00,42.1,44.0,1.1,280.0,138.0
2026-02-28 08:00:00+00:00,41.8,43.5,0.9,265.0,143.0
2026-02-28 09:00:00+00:00,41.9,43.7,1.3,257.0,144.0
2026-02-28 10:00:00+00:00,42.4,44.0,2.5,258.0,141.0
2026-02-28 11:00:00+00:00,43.4,45.1,4.2,265.0,134.0
2026-02-28 12:00:00+00:00,54.7,56.2,6.0,277.0,124.0
2026-02-28 13:00:00+00:00,58.2,59.4,6.7,297.0,114.0
2026-02-28 14:00:00+00:00,58.8,59.8,7.7,321.0,99.0
2026-02-28 15:00:00+00:00,58.1,59.3,8.2,340.0,87.0
2026-02-28 16:00:00+00:00,57.7,59.0,7.9,348.0,80.0
2026-02-28 17:00:00+00:00,57.9,59.3,7.3,351.0,75.0
2026-02-28 18:00:00+00:00,57.6,59.1,6.6,352.0,72.0
2026-02-28 19:00:00+00:00,57.4,59.0,6.1,353.0,70.0
2026-02-28 20:00:00+00:00,57.6,59.3,5.6,353.0,69.0
2026-02-28 21:00:00+00:00,57.4,59.1,5.3,353.0,68.0
2026-02-28 22:00:00+00:00,56.9,58.7,5.2,356.0,67.0
2026-02-28 23:00:00+00:00,56.1,58.0,5.2,360.0,66.0
2026-03-01 00:00:00+00:00,56.3,58.4,5.7,357.0,65.0
2026-03-01 01:00:00+00:00,58.0,60.1,5.7,343.0,67.0
2026-03-01 02:00:00+00:00,58.9,61.2,5.7,322.0,69.0
2026-03-01 03:00:00+00:00,57.7,60.3,5.3,303.0,76.0
2026-03-01 04:00:00+00:00,56.3,58.9,4.3,288.0,89.0
2026-03-01 05:00:00+00:00,53.4,55.8,2.9,275.0,106.0
2026-03-01 06:00:00+00:00,48.4,50.4,1.9,263.0,120.0
2026-03-01 07:00:00+00:00,45.2,47.0,1.3,251.0,130.0
2026-03-01 08:00:00+00:00,43.3,45.1,1.0,241.0,137.0
2026-03-01 08:15:00+00:00,43.0,98.0,18.612,0.366,43.5
2026-03-01 09:00:00+00:00,42.0,43.7,1.3,235.0,139.0
2026-03-01 10:00:00+00:00,41.3,42.8,2.8,236.0,135.0
