Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,117.8,122.0,27.1,1366.0,30.0
2026-02-27 01:00:00+00:00,122.5,127.1,28.6,1348.0,27.0
2026-02-27 02:00:00+00:00,132.7,137.8,30.3,1288.0,25.0
2026-02-27 03:00:00+00:00,136.0,139.7,29.1,1208.0,35.0
2026-02-27 04:00:00+00:00,114.8,117.8,22.4,1116.0,69.0
2026-02-27 05:00:00+00:00,84.5,88.7,12.8,1006.0,116.0
2026-02-27 06:00:00+00:00,64.7,70.3,5.5,881.0,152.0
2026-02-27 07:00:00+00:00,51.5,60.8,2.6,717.0,167.0
2026-02-27 08:00:00+00:00,43.7,58.4,1.9,539.0,172.0
2026-02-27 09:00:00+00:00,40.4,59.0,2.6,426.0,172.0
2026-02-27 10:00:00+00:00,39.6,59.8,3.6,420.0,171.0
2026-02-27 11:00:00+00:00,40.0,61.0,6.0,479.0,166.0
2026-02-27 12:00:00+00:00,41.3,68.9,10.7,555.0,131.0
2026-02-27 13:00:00+00:00,55.2,84.3,25.8,648.0,111.0
2026-02-27 14:00:00+00:00,74.3,106.4,46.3,758.0,85.0
2026-02-27 15:00:00+00:00,93.8,128.1,58.4,831.0,64.0
2026-02-27 16:00:00+00:00,114.1,147.1,54.5,841.0,56.0
2026-02-27 17:00:00+00:00,120.6,146.7,42.4,815.0,54.0
2026-02-27 18:00:00+00:00,100.6,117.3,31.4,778.0,55.0
2026-02-27 19:00:00+00:00,86.1,96.9,24.3,727.0,58.0
2026-02-27 20:00:00+00:00,80.1,88.5,18.4,665.0,63.0
2026-02-27 21:00:00+00:00,79.4,87.8,15.1,633.0,65.0
2026-02-27 22:00:00+00:00,82.7,91.3,15.7,644.0,61.0
2026-02-27 23:00:00+00:00,88.5,97.6,19.0,683.0,54.0
2026-02-28 00:00:00+00:00,84.8,93.8,18.4,748.0,49.0
2026-02-28 01:00:00+00:00,92.7,102.0,24.3,878.0,39.0
2026-02-28 02:00:00+00:00,106.6,116.2,32.0,1032.0,27.0
2026-02-28 03:00:00+00:00,120.1,128.1,34.6,1089.0,30.0
2026-02-28 04:00:00+00:00,90.3,98.7,26.9,962.0,62.0
2026-02-28 05:00:00+00:00,66.4,77.8,14.1,738.0,109.0
2026-02-28 06:00:00+00:00,47.1,66.4,4.4,549.0,144.0
2026-02-28 07:00:00+00:00,35.2,62.2,1.3,439.0,154.0
2026-02-28 08:00:00+00:00,30.2,61.2,1.2,365.0,152.0
2026-02-28 09:00:00+00:00,27.0,58.8,2.1,327.0,147.0
2026-02-28 10:00:00+00:00,24.6,54.7,2.7,323.0,143.0
2026-02-28 11:00:00+00:00,24.0,51.7,4.2,355.0,137.0
2026-02-28 12:00:00+00:00,27.3,51.2,8.2,435.0,111.0
2026-02-28 13:00:00+00:00,31.9,52.9,14.2,613.0,101.0
2026-02-28 14:00:00+00:00,37.5,56.7,22.3,838.0,88.0
2026-02-28 15:00:00+00:00,41.2,59.3,27.8,975.0,77.0
2026-02-28 16:00:00+00:00,43.8,61.9,28.1,941.0,73.0
2026-02-28 17:00:00+00:00,46.3,65.0,25.8,818.0,71.0
2026-02-28 18:00:00+00:00,48.7,67.8,23.5,716.0,70.0
2026-02-28 19:00:00+00:00,49.9,69.4,21.9,678.0,68.0
2026-02-28 20:00:00+00:00,51.8,72.2,20.2,661.0,65.0
2026-02-28 21:00:00+00:00,54.0,75.4,18.9,642.0,62.0
2026-02-28 22:00:00+00:00,56.6,79.2,18.0,599.0,58.0
2026-02-28 23:00:00+00:00,59.4,83.1,17.5,553.0,54.0
2026-03-01 00:00:00+00:00,62.6,86.4,17.6,553.0,48.0
2026-03-01 01:00:00+00:00,66.4,91.5,19.4,647.0,43.0
2026-03-01 02:00:00+00:00,72.9,100.6,21.6,786.0,38.0
2026-03-01 03:00:00+00:00,72.9,95.2,21.9,867.0,44.0
2026-03-01 04:00:00+00:00,64.3,87.1,18.4,839.0,70.0
2026-03-01 05:00:00+00:00,55.9,83.1,12.8,753.0,107.0
2026-03-01 06:00:00+00:00,44.5,71.7,8.2,662.0,135.0
2026-03-01 07:00:00+00:00,32.8,56.8,5.3,568.0,148.0
2026-03-01 08:00:00+00:00,26.1,47.3,3.4,468.0,153.0
2026-03-01 08:15:00+00:00,30.08,68.1,12.502,0.813,41.52
2026-03-01 09:00:00+00:00,22.6,42.0,2.7,406.0,152.0
2026-03-01 10:00:00+00:00,21.6,40.6,3.3,402.0,146.0
