Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 18:00:00,14.8,80.0,4.7,1010.7,
2026-02-21 19:00:00,,,,,
2026-02-21 20:00:00,,,,,
2026-02-21 21:00:00,,,,,
2026-02-21 22:00:00,,,,,
2026-02-21 23:00:00,,,,,
2026-02-22 00:00:00,11.4,88.0,3.6,1008.7,
2026-02-22 01:00:00,,,,,
2026-02-22 02:00:00,,,,,
2026-02-22 03:00:00,,,,,
2026-02-22 04:00:00,,,,,
2026-02-22 05:00:00,,,,,
2026-02-22 06:00:00,23.6,53.0,5.0,1010.1,
2026-02-22 07:00:00,,,,,
2026-02-22 08:00:00,,,,,
2026-02-22 09:00:00,,,,,
2026-02-22 10:00:00,,,,,
2026-02-22 11:00:00,,,,,
2026-02-22 12:00:00,24.3,52.0,4.7,1006.7,
2026-02-22 13:00:00,,,,,
2026-02-22 14:00:00,,,,,
2026-02-22 15:00:00,,,,,
2026-02-22 16:00:00,,,,,
2026-02-22 17:00:00,,,,,
2026-02-22 18:00:00,15.6,77.0,4.3,1008.1,
2026-02-22 19:00:00,,,,,
2026-02-22 20:00:00,,,,,
2026-02-22 21:00:00,,,,,
2026-02-22 22:00:00,,,,,
2026-02-22 23:00:00,,,,,
2026-02-23 00:00:00,12.0,89.0,5.8,1007.9,
2026-02-23 01:00:00,,,,,
2026-02-23 02:00:00,,,,,
2026-02-23 03:00:00,,,,,
2026-02-23 04:00:00,,,,,
2026-02-23 05:00:00,,,,,
2026-02-23 06:00:00,23.6,50.0,3.6,1010.7,
2026-02-23 07:00:00,,,,,
2026-02-23 08:00:00,,,,,
2026-02-23 09:00:00,,,,,
2026-02-23 10:00:00,,,,,
2026-02-23 11:00:00,,,,,
2026-02-23 12:00:00,24.4,46.0,4.3,1007.7,
2026-02-23 13:00:00,,,,,
2026-02-23 14:00:00,,,,,
2026-02-23 15:00:00,,,,,
2026-02-23 16:00:00,,,,,
2026-02-23 17:00:00,,,,,
2026-02-23 18:00:00,16.3,78.0,2.9,1009.3,
2026-02-23 19:00:00,,,,,
2026-02-23 20:00:00,,,,,
2026-02-23 21:00:00,,,,,
2026-02-23 22:00:00,,,,,
2026-02-23 23:00:00,,,,,
2026-02-24 00:00:00,12.7,88.0,5.8,1009.0,
2026-02-24 01:00:00,,,,,
2026-02-24 02:00:00,,,,,
2026-02-24 03:00:00,,,,,
2026-02-24 04:00:00,,,,,
2026-02-24 05:00:00,,,,,
2026-02-24 06:00:00,24.1,48.0,1.4,1012.2,
2026-02-24 07:00:00,,,,,
2026-02-24 08:00:00,,,,,
2026-02-24 09:00:00,,,,,
2026-02-24 10:00:00,,,,,
2026-02-24 11:00:00,,,,,
2026-02-24 12:00:00,25.4,52.0,1.8,1009.1,
