Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,33.3,34.0,16.0,402.0,76.0
2026-02-27 01:00:00+00:00,37.5,38.1,19.2,525.0,78.0
2026-02-27 02:00:00+00:00,46.2,46.9,23.2,681.0,81.0
2026-02-27 03:00:00+00:00,37.5,38.3,24.1,758.0,90.0
2026-02-27 04:00:00+00:00,38.0,38.9,18.6,680.0,110.0
2026-02-27 05:00:00+00:00,35.7,36.7,10.0,524.0,137.0
2026-02-27 06:00:00+00:00,35.7,36.7,3.7,406.0,157.0
2026-02-27 07:00:00+00:00,35.5,36.4,2.1,378.0,166.0
2026-02-27 08:00:00+00:00,35.5,36.3,2.8,389.0,168.0
2026-02-27 09:00:00+00:00,36.4,37.3,4.1,405.0,168.0
2026-02-27 10:00:00+00:00,35.6,36.4,3.3,403.0,170.0
2026-02-27 11:00:00+00:00,34.2,34.9,3.2,406.0,170.0
2026-02-27 12:00:00+00:00,41.4,42.5,10.9,449.0,163.0
2026-02-27 13:00:00+00:00,52.4,53.4,43.2,576.0,121.0
2026-02-27 14:00:00+00:00,68.9,69.8,86.4,743.0,64.0
2026-02-27 15:00:00+00:00,71.7,72.6,109.5,847.0,29.0
2026-02-27 16:00:00+00:00,54.8,55.4,92.7,840.0,37.0
2026-02-27 17:00:00+00:00,43.5,43.9,55.7,770.0,68.0
2026-02-27 18:00:00+00:00,35.4,35.6,26.5,686.0,92.0
2026-02-27 19:00:00+00:00,32.1,32.4,16.4,586.0,99.0
2026-02-27 20:00:00+00:00,31.5,31.8,14.0,471.0,100.0
2026-02-27 21:00:00+00:00,31.8,32.0,13.0,392.0,99.0
2026-02-27 22:00:00+00:00,32.2,32.5,11.4,368.0,95.0
2026-02-27 23:00:00+00:00,33.1,33.4,11.1,380.0,89.0
2026-02-28 00:00:00+00:00,41.6,42.1,14.4,423.0,89.0
2026-02-28 01:00:00+00:00,43.7,44.2,17.3,531.0,90.0
2026-02-28 02:00:00+00:00,47.7,48.2,21.0,671.0,91.0
2026-02-28 03:00:00+00:00,39.3,40.0,21.8,736.0,100.0
2026-02-28 04:00:00+00:00,36.4,37.3,16.9,655.0,122.0
2026-02-28 05:00:00+00:00,35.0,35.7,9.1,500.0,150.0
2026-02-28 06:00:00+00:00,34.9,35.6,3.4,382.0,171.0
2026-02-28 07:00:00+00:00,34.7,35.4,1.9,348.0,178.0
2026-02-28 08:00:00+00:00,34.8,35.5,2.4,350.0,178.0
2026-02-28 09:00:00+00:00,34.7,35.5,3.4,362.0,176.0
2026-02-28 10:00:00+00:00,34.7,35.5,3.4,373.0,176.0
2026-02-28 11:00:00+00:00,34.8,35.9,3.9,393.0,174.0
2026-02-28 12:00:00+00:00,48.5,50.1,7.5,425.0,169.0
2026-02-28 13:00:00+00:00,60.5,61.7,23.8,481.0,137.0
2026-02-28 14:00:00+00:00,67.1,68.2,45.7,550.0,93.0
2026-02-28 15:00:00+00:00,64.3,65.2,57.8,592.0,64.0
2026-02-28 16:00:00+00:00,58.3,59.3,50.6,592.0,67.0
2026-02-28 17:00:00+00:00,56.1,56.8,33.7,566.0,85.0
2026-02-28 18:00:00+00:00,56.9,57.6,20.6,529.0,98.0
2026-02-28 19:00:00+00:00,58.2,58.9,16.8,474.0,98.0
2026-02-28 20:00:00+00:00,60.1,61.0,16.9,409.0,94.0
2026-02-28 21:00:00+00:00,62.2,63.1,17.5,371.0,90.0
2026-02-28 22:00:00+00:00,65.4,66.6,17.5,369.0,87.0
2026-02-28 23:00:00+00:00,71.2,72.4,18.0,394.0,84.0
2026-03-01 00:00:00+00:00,77.3,78.7,20.2,456.0,86.0
2026-03-01 01:00:00+00:00,82.2,83.6,23.7,600.0,88.0
2026-03-01 02:00:00+00:00,93.8,95.2,28.2,780.0,93.0
2026-03-01 03:00:00+00:00,67.5,69.2,28.9,870.0,103.0
2026-03-01 04:00:00+00:00,57.0,58.6,22.1,782.0,125.0
2026-03-01 05:00:00+00:00,53.1,54.6,11.6,605.0,153.0
2026-03-01 06:00:00+00:00,51.6,53.1,3.8,473.0,173.0
2026-03-01 07:00:00+00:00,49.4,50.8,1.7,449.0,180.0
2026-03-01 08:00:00+00:00,46.7,48.1,2.5,471.0,179.0
2026-03-01 08:15:00+00:00,42.0,151.0,17.86,0.859,205.5
2026-03-01 09:00:00+00:00,44.8,46.1,3.7,491.0,176.0
2026-03-01 10:00:00+00:00,43.4,44.6,3.5,466.0,176.0
