Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 12:00:00,28.4,41.0,15.8,1009.3,0.0
2026-02-21 13:00:00,25.7,46.0,14.8,1008.8,0.0
2026-02-21 14:00:00,24.5,52.0,13.0,1009.7,0.0
2026-02-21 15:00:00,23.2,59.0,13.0,1010.7,0.0
2026-02-21 16:00:00,22.5,65.0,13.0,1011.0,0.0
2026-02-21 17:00:00,21.8,71.0,13.0,1011.3,0.0
2026-02-21 18:00:00,21.7,76.0,10.4,1013.1,0.0
2026-02-21 19:00:00,20.3,82.0,11.1,1011.3,0.0
2026-02-21 20:00:00,19.6,87.0,11.1,1010.9,0.0
2026-02-21 21:00:00,18.9,91.0,9.3,1010.5,0.0
2026-02-21 22:00:00,18.8,90.0,9.3,1010.3,0.0
2026-02-21 23:00:00,18.8,89.0,7.4,1010.2,0.0
2026-02-22 00:00:00,18.6,92.0,7.6,1010.2,0.0
2026-02-22 01:00:00,19.5,86.0,7.4,1010.6,0.0
2026-02-22 02:00:00,20.3,83.0,9.3,1011.2,0.0
2026-02-22 03:00:00,21.1,81.0,11.1,1011.7,0.0
2026-02-22 04:00:00,22.6,68.0,13.0,1011.3,0.0
2026-02-22 05:00:00,24.1,57.0,14.8,1010.8,0.0
2026-02-22 06:00:00,29.5,34.0,11.9,1010.9,0.0
2026-02-22 07:00:00,26.6,42.0,16.7,1009.0,
2026-02-22 08:00:00,27.5,38.0,16.7,1007.6,
2026-02-22 09:00:00,28.4,34.0,18.5,1006.3,
2026-02-22 10:00:00,28.2,35.0,16.7,1005.9,
2026-02-22 11:00:00,27.9,37.0,16.7,1005.6,
2026-02-22 12:00:00,30.4,26.0,12.2,1005.8,
2026-02-22 13:00:00,26.4,43.0,14.8,1006.4,
2026-02-22 14:00:00,25.1,48.0,13.0,1007.6,
2026-02-22 15:00:00,23.7,54.0,11.1,1008.7,
2026-02-22 16:00:00,22.8,60.0,11.1,1009.1,
2026-02-22 17:00:00,21.8,67.0,11.1,1009.5,
2026-02-22 18:00:00,22.2,70.0,13.0,1011.3,
2026-02-22 19:00:00,20.3,78.0,9.3,1009.5,
2026-02-22 20:00:00,19.7,83.0,9.3,1009.2,
2026-02-22 21:00:00,19.1,88.0,7.4,1008.9,
2026-02-22 22:00:00,18.9,89.0,7.4,1008.9,
2026-02-22 23:00:00,18.7,92.0,7.4,1009.0,
2026-02-23 00:00:00,18.8,93.0,7.2,1010.1,
2026-02-23 01:00:00,19.4,89.0,7.4,1009.7,
2026-02-23 02:00:00,20.4,85.0,7.4,1010.3,
2026-02-23 03:00:00,21.4,80.0,7.4,1010.9,
2026-02-23 04:00:00,23.0,65.0,9.3,1010.5,
2026-02-23 05:00:00,24.6,52.0,13.0,1010.1,
2026-02-23 06:00:00,29.4,31.0,7.2,1010.6,
2026-02-23 07:00:00,27.1,37.0,14.8,1008.4,
2026-02-23 08:00:00,28.0,33.0,14.8,1007.0,
2026-02-23 09:00:00,28.9,29.0,14.8,1005.6,
2026-02-23 10:00:00,28.7,31.0,14.8,1005.4,
2026-02-23 11:00:00,28.5,33.0,13.0,1005.1,
2026-02-23 12:00:00,31.5,22.0,7.6,1005.5,
2026-02-23 13:00:00,26.7,41.0,11.1,1006.0,
2026-02-23 14:00:00,25.2,46.0,11.1,1007.1,
2026-02-23 15:00:00,23.7,53.0,9.3,1008.2,
2026-02-23 16:00:00,23.0,57.0,9.3,1008.6,
2026-02-23 17:00:00,22.2,63.0,11.1,1008.9,
2026-02-23 18:00:00,23.6,64.0,11.9,1011.3,
2026-02-23 19:00:00,20.9,74.0,9.3,1009.1,
2026-02-23 20:00:00,20.2,81.0,7.4,1008.8,
2026-02-23 21:00:00,19.6,88.0,7.4,1008.6,
2026-02-23 22:00:00,19.3,89.0,5.5,1008.7,
2026-02-23 23:00:00,19.0,90.0,5.5,1008.7,
2026-02-24 00:00:00,20.0,94.0,5.4,1010.1,
2026-02-24 01:00:00,19.6,88.0,5.5,1009.5,
2026-02-24 02:00:00,20.5,85.0,7.4,1010.2,
2026-02-24 03:00:00,21.4,82.0,7.4,1010.9,
2026-02-24 04:00:00,23.2,66.0,9.3,1010.7,
2026-02-24 05:00:00,25.0,54.0,11.1,1010.5,
2026-02-24 06:00:00,29.4,39.0,2.5,1011.4,
2026-02-24 07:00:00,27.6,37.0,11.1,1008.9,
2026-02-24 08:00:00,28.4,32.0,13.0,1007.5,
2026-02-24 09:00:00,29.1,27.0,13.0,1006.2,
2026-02-24 10:00:00,28.9,29.0,11.1,1006.2,
2026-02-24 11:00:00,28.6,31.0,11.1,1006.2,
