Datetime,PM2_5,PM10,NO2,CO,O3
2026-03-01 00:00:00+00:00,18.7,19.6,6.7,354.0,63.0
2026-03-01 01:00:00+00:00,19.8,20.8,6.8,384.0,63.0
2026-03-01 02:00:00+00:00,22.0,23.1,6.9,414.0,65.0
2026-03-01 03:00:00+00:00,21.7,22.8,6.4,415.0,71.0
2026-03-01 04:00:00+00:00,22.4,24.6,4.8,362.0,87.0
2026-03-01 05:00:00+00:00,20.4,23.7,2.5,280.0,109.0
2026-03-01 06:00:00+00:00,17.7,21.4,0.9,220.0,125.0
2026-03-01 07:00:00+00:00,17.1,21.1,0.4,203.0,131.0
2026-03-01 08:00:00+00:00,16.8,21.0,0.6,208.0,132.0
2026-03-01 09:00:00+00:00,16.4,20.7,0.8,214.0,132.0
2026-03-01 10:00:00+00:00,16.2,20.7,0.8,205.0,134.0
2026-03-01 11:00:00+00:00,16.2,20.7,0.9,199.0,134.0
2026-03-01 12:00:00+00:00,18.0,22.9,2.0,224.0,122.0
2026-03-01 13:00:00+00:00,20.3,24.5,4.6,316.0,111.0
2026-03-01 14:00:00+00:00,23.1,27.2,8.2,441.0,96.0
2026-03-01 15:00:00+00:00,25.4,29.4,11.0,523.0,83.0
2026-03-01 16:00:00+00:00,26.9,30.7,12.2,526.0,76.0
2026-03-01 17:00:00+00:00,28.1,31.7,12.7,485.0,71.0
2026-03-01 18:00:00+00:00,28.6,32.1,13.2,439.0,67.0
2026-03-01 19:00:00+00:00,29.8,33.5,14.0,387.0,62.0
2026-03-01 20:00:00+00:00,32.6,36.6,14.9,329.0,58.0
2026-03-01 21:00:00+00:00,34.8,38.6,15.4,297.0,54.0
2026-03-01 22:00:00+00:00,36.0,39.7,15.5,297.0,50.0
2026-03-01 23:00:00+00:00,36.6,40.4,15.3,324.0,46.0
2026-03-02 00:00:00+00:00,29.4,33.6,11.3,387.0,59.0
2026-03-02 01:00:00+00:00,29.6,34.1,10.6,541.0,64.0
2026-03-02 02:00:00+00:00,30.9,35.6,9.4,732.0,71.0
2026-03-02 03:00:00+00:00,25.7,29.3,7.9,810.0,82.0
2026-03-02 04:00:00+00:00,20.4,25.7,5.6,665.0,100.0
2026-03-02 05:00:00+00:00,20.3,27.2,2.9,406.0,122.0
2026-03-02 06:00:00+00:00,21.8,31.4,0.9,212.0,138.0
2026-03-02 07:00:00+00:00,21.4,31.9,0.3,164.0,143.0
2026-03-02 08:00:00+00:00,20.7,31.3,0.5,181.0,143.0
2026-03-02 09:00:00+00:00,20.3,30.9,0.8,201.0,141.0
2026-03-02 10:00:00+00:00,19.8,30.4,0.9,201.0,140.0
2026-03-02 11:00:00+00:00,19.3,29.8,1.2,204.0,137.0
2026-03-02 12:00:00+00:00,16.1,22.9,2.1,217.0,128.0
2026-03-02 13:00:00+00:00,17.9,24.2,4.4,251.0,115.0
2026-03-02 14:00:00+00:00,19.9,26.3,7.5,296.0,98.0
2026-03-02 15:00:00+00:00,21.3,28.1,10.4,328.0,83.0
2026-03-02 16:00:00+00:00,22.8,30.3,12.7,336.0,74.0
2026-03-02 17:00:00+00:00,25.1,33.2,14.7,330.0,67.0
2026-03-02 18:00:00+00:00,28.6,37.4,16.0,320.0,62.0
2026-03-02 19:00:00+00:00,31.1,40.2,16.3,303.0,58.0
2026-03-02 20:00:00+00:00,32.4,41.7,15.8,281.0,55.0
2026-03-02 21:00:00+00:00,32.7,42.4,15.3,268.0,53.0
2026-03-02 22:00:00+00:00,32.8,43.2,14.7,261.0,52.0
2026-03-02 23:00:00+00:00,33.2,44.1,14.0,263.0,52.0
2026-03-03 00:00:00+00:00,33.6,45.3,13.7,297.0,55.0
2026-03-03 01:00:00+00:00,34.6,46.9,14.6,407.0,59.0
2026-03-03 02:00:00+00:00,37.5,50.5,15.9,549.0,65.0
2026-03-03 03:00:00+00:00,37.7,46.1,15.4,612.0,77.0
2026-03-03 04:00:00+00:00,22.6,35.7,11.3,518.0,99.0
2026-03-03 05:00:00+00:00,19.2,32.7,5.3,345.0,126.0
2026-03-03 06:00:00+00:00,17.2,28.6,1.0,216.0,146.0
