Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-18 04:00:00+00:00,45.0,72.0,34.968,1.534,24.6
2026-02-18 06:15:00+00:00,28.0,57.0,17.86,1.076,85.0
2026-02-18 08:00:00+00:00,25.0,58.0,24.44,0.996,63.6
2026-02-18 10:00:00+00:00,12.0,24.0,10.716,0.916,99.7
2026-02-18 12:00:00+00:00,24.0,45.0,19.74,1.168,66.6
2026-02-18 14:00:00+00:00,23.0,53.0,48.128,2.611,4.6
2026-02-18 16:00:00+00:00,49.0,111.0,27.26,1.443,14.9
2026-02-19 08:00:00+00:00,38.0,55.0,22.748,1.053,83.7
2026-02-19 09:45:00+00:00,34.0,51.0,16.168,0.973,96.7
2026-02-19 12:15:00+00:00,23.0,36.0,16.168,1.156,84.8
2026-02-19 14:00:00+00:00,37.0,98.0,64.672,3.011,5.0
2026-02-19 15:45:00+00:00,45.0,92.0,38.352,2.439,4.6
2026-02-19 18:00:00+00:00,49.0,103.0,34.028,1.843,5.2
2026-02-19 18:15:00+00:00,48.0,84.0,29.14,1.695,5.7
2026-02-19 20:00:00+00:00,48.0,88.0,23.876,0.985,7.6
2026-02-19 22:00:00+00:00,35.0,55.0,15.228,0.905,8.6
2026-02-20 00:00:00+00:00,30.0,44.0,15.98,1.076,6.3
2026-02-20 01:30:00+00:00,24.0,49.0,23.312,1.374,4.8
2026-02-20 06:00:00+00:00,39.0,72.0,20.492,0.996,109.0
2026-02-20 08:15:00+00:00,40.0,73.0,18.988,1.122,90.4
2026-02-20 10:00:00+00:00,28.0,49.0,6.768,0.985,111.6
2026-02-20 12:00:00+00:00,18.0,31.0,6.392,1.111,106.5
2026-02-20 14:00:00+00:00,37.0,56.0,18.424,1.328,61.7
2026-02-20 16:00:00+00:00,42.0,68.0,14.288,1.214,57.7
2026-02-20 18:00:00+00:00,38.0,57.0,11.28,1.168,51.5
2026-02-20 18:15:00+00:00,37.0,52.0,11.092,1.248,49.0
2026-02-20 20:15:00+00:00,43.0,65.0,6.956,1.237,38.0
2026-02-20 22:00:00+00:00,43.0,60.0,6.016,1.271,54.8
2026-02-21 00:00:00+00:00,48.0,62.0,8.836,1.214,28.0
2026-02-21 02:00:00+00:00,49.0,60.0,21.62,1.534,6.7
2026-02-21 03:30:00+00:00,48.0,72.0,17.672,1.363,50.5
2026-02-21 06:00:00+00:00,45.0,68.0,6.768,1.317,113.8
2026-02-21 08:00:00+00:00,54.0,71.0,14.1,1.168,92.8
2026-02-21 10:00:00+00:00,40.0,58.0,9.212,1.122,116.7
2026-02-21 12:00:00+00:00,34.0,51.0,8.46,1.179,121.6
2026-02-21 14:00:00+00:00,47.0,69.0,35.72,1.649,46.6
2026-02-21 16:00:00+00:00,65.0,91.0,17.672,1.34,86.8
2026-02-21 18:00:00+00:00,55.0,77.0,15.792,1.351,56.6
2026-02-22 00:15:00+00:00,48.0,60.0,12.596,1.179,23.5
2026-02-22 02:00:00+00:00,56.0,75.0,17.672,1.328,14.1
2026-02-22 04:00:00+00:00,49.0,79.0,20.304,1.271,76.7
2026-02-22 06:00:00+00:00,45.0,75.0,9.4,1.179,143.4
2026-02-22 08:00:00+00:00,41.0,62.0,17.296,1.168,100.5
2026-02-22 10:00:00+00:00,28.0,47.0,13.912,1.122,115.6
2026-02-22 12:15:00+00:00,31.0,49.0,9.588,1.248,101.7
2026-02-22 14:00:00+00:00,37.0,62.0,41.924,2.05,12.7
2026-02-22 16:00:00+00:00,61.0,94.0,45.684,2.015,9.9
2026-02-22 16:45:00+00:00,53.0,75.0,43.992,1.843,16.2
2026-02-23 04:00:00+00:00,36.0,71.0,26.696,1.385,54.7
2026-02-23 06:00:00+00:00,61.0,94.0,13.724,1.202,110.8
2026-02-23 08:00:00+00:00,55.0,83.0,10.34,1.214,94.8
2026-02-23 10:00:00+00:00,34.0,54.0,53.392,1.408,93.6
2026-02-23 12:00:00+00:00,31.0,49.0,43.804,1.66,104.4
2026-02-23 12:30:00+00:00,38.0,57.0,49.068,1.786,98.1
2026-02-23 16:00:00+00:00,62.0,93.0,223.156,2.897,5.2
2026-02-23 18:00:00+00:00,55.0,83.0,256.244,2.313,20.7
2026-02-23 18:15:00+00:00,52.0,73.0,256.244,2.004,19.0
2026-02-23 20:00:00+00:00,50.0,71.0,256.244,1.809,13.1
2026-02-23 22:00:00+00:00,53.0,82.0,69.748,1.752,7.7
2026-02-24 00:00:00+00:00,63.0,84.0,58.468,1.534,17.3
2026-02-24 02:15:00+00:00,51.0,85.0,113.364,2.267,8.2
2026-02-24 04:00:00+00:00,45.0,79.0,152.468,1.889,57.6
2026-02-24 06:00:00+00:00,53.0,90.0,90.804,1.74,131.0
2026-02-24 08:00:00+00:00,62.0,102.0,94.752,1.5,75.7
2026-02-24 10:00:00+00:00,27.0,49.0,41.36,1.328,91.5
