Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-17 12:45:00+00:00,77.51,45.82,19.496,0.0,5.95
2026-02-18 10:15:00+00:00,65.51,25.27,18.819,0.0,8.28
2026-02-18 12:15:00+00:00,63.18,24.81,19.063,0.0,6.56
2026-02-18 14:15:00+00:00,59.07,22.52,19.251,0.0,5.7
2026-02-18 16:15:00+00:00,71.09,22.11,19.176,0.0,5.01
2026-02-19 08:15:00+00:00,49.91,22.67,17.616,0.0,9.18
2026-02-19 10:15:00+00:00,102.08,22.67,17.766,0.0,8.44
2026-02-19 12:30:00+00:00,74.13,22.67,18.537,0.0,6.56
2026-02-19 14:15:00+00:00,77.17,22.67,18.819,0.0,6.08
2026-02-19 16:30:00+00:00,58.91,22.67,19.176,0.0,5.58
2026-02-19 18:15:00+00:00,50.77,22.67,18.781,0.0,5.7
2026-02-19 20:15:00+00:00,44.09,22.67,19.326,0.0,5.12
2026-02-19 22:15:00+00:00,64.75,22.67,19.702,0.0,4.42
2026-02-20 00:30:00+00:00,52.74,22.67,20.36,0.0,4.49
2026-02-20 02:15:00+00:00,65.34,22.49,21.0,0.0,5.74
2026-02-20 04:15:00+00:00,67.59,22.49,22.673,0.0,8.52
2026-02-20 06:15:00+00:00,60.62,22.49,18.612,0.0,9.52
2026-02-20 06:45:00+00:00,60.26,22.49,18.668,0.0,9.82
2026-02-20 10:15:00+00:00,53.82,571.03,18.462,0.0,9.02
2026-02-20 12:30:00+00:00,60.75,571.03,18.932,0.0,7.28
2026-02-20 14:15:00+00:00,60.72,571.03,23.03,0.0,6.89
2026-02-20 16:15:00+00:00,60.3,571.03,23.312,0.0,6.63
2026-02-20 18:15:00+00:00,49.97,571.03,19.402,0.0,6.14
2026-02-20 20:30:00+00:00,30.65,150.11,19.458,0.0,5.37
2026-02-20 22:15:00+00:00,42.95,868.32,18.819,0.0,5.46
2026-02-21 00:15:00+00:00,48.11,868.32,19.665,0.0,5.28
2026-02-21 02:30:00+00:00,54.75,868.32,19.909,0.0,5.95
2026-02-21 04:15:00+00:00,54.61,868.32,21.582,0.0,7.68
2026-02-21 06:15:00+00:00,59.65,369.93,18.913,0.0,9.45
2026-02-21 08:30:00+00:00,52.23,22.0,18.104,0.0,9.31
2026-02-21 10:30:00+00:00,67.01,55.95,18.386,0.0,8.94
2026-02-21 12:15:00+00:00,66.96,55.95,19.251,0.0,7.44
2026-02-21 14:15:00+00:00,59.1,55.95,21.488,0.0,6.73
2026-02-21 16:30:00+00:00,49.26,0.0,21.977,0.0,6.65
2026-02-21 18:15:00+00:00,54.32,0.0,22.804,0.0,6.27
2026-02-22 00:30:00+00:00,54.09,34.45,20.68,0.0,5.43
2026-02-22 02:15:00+00:00,52.9,34.45,20.812,0.0,6.33
2026-02-22 04:15:00+00:00,49.86,34.45,20.849,0.0,8.16
2026-02-22 06:30:00+00:00,41.12,23.24,19.138,0.0,9.0
2026-02-22 08:30:00+00:00,30.78,31.53,18.856,0.0,10.0
2026-02-22 10:15:00+00:00,38.38,31.53,18.969,0.0,8.84
2026-02-22 12:30:00+00:00,45.68,31.53,19.345,0.0,7.29
2026-02-22 14:15:00+00:00,39.01,24.65,18.875,0.0,6.73
2026-02-22 16:15:00+00:00,42.89,24.65,18.725,0.0,6.28
2026-02-22 18:15:00+00:00,31.27,24.65,18.65,0.0,6.28
2026-02-22 20:15:00+00:00,32.93,22.42,18.762,0.0,5.66
2026-02-22 22:30:00+00:00,44.22,22.42,18.762,0.0,4.69
2026-02-23 00:15:00+00:00,48.78,22.34,18.781,0.0,4.51
2026-02-23 02:15:00+00:00,41.23,22.34,22.41,0.0,6.6
2026-02-23 04:15:00+00:00,34.69,22.34,19.759,0.0,9.55
2026-02-23 06:30:00+00:00,36.92,22.07,18.123,0.0,10.31
2026-02-23 08:30:00+00:00,41.04,22.07,18.612,0.0,10.19
2026-02-23 10:15:00+00:00,46.4,298.69,18.499,0.0,9.2
2026-02-23 12:15:00+00:00,47.25,547.59,18.856,0.0,7.24
2026-02-23 14:15:00+00:00,45.49,547.59,18.161,0.0,6.52
2026-02-23 16:30:00+00:00,40.39,547.59,18.01,0.0,5.99
2026-02-23 18:15:00+00:00,41.93,22.0,17.804,0.0,5.69
2026-02-23 20:15:00+00:00,31.38,22.0,17.992,0.0,5.14
2026-02-23 22:15:00+00:00,52.54,28.98,17.992,0.0,4.69
2026-02-24 00:30:00+00:00,43.05,28.98,18.217,0.0,4.24
2026-02-24 02:30:00+00:00,31.11,684.14,22.165,0.0,6.92
2026-02-24 04:15:00+00:00,31.94,684.14,18.217,0.0,8.67
2026-02-24 06:15:00+00:00,29.64,684.14,17.653,0.0,9.91
