Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 12:00:00,28.1,67.0,12.6,1009.1,
2026-02-21 13:00:00,28.0,70.0,5.5,1010.6,
2026-02-21 14:00:00,27.4,74.0,5.5,1011.2,
2026-02-21 15:00:00,26.8,78.0,3.7,1011.8,
2026-02-21 16:00:00,26.5,80.0,3.7,1011.9,
2026-02-21 17:00:00,26.3,81.0,3.7,1011.9,
2026-02-21 18:00:00,25.6,85.0,5.8,1010.8,
2026-02-21 19:00:00,25.8,83.0,3.7,1011.2,
2026-02-21 20:00:00,25.6,84.0,1.8,1010.5,
2026-02-21 21:00:00,25.4,85.0,1.8,1009.8,
2026-02-21 22:00:00,25.2,86.0,1.8,1009.6,
2026-02-21 23:00:00,25.1,86.0,1.8,1009.4,
2026-02-22 00:00:00,23.9,94.0,6.8,1008.0,
2026-02-22 01:00:00,25.6,85.0,1.8,1009.8,
2026-02-22 02:00:00,26.2,83.0,1.8,1010.5,
2026-02-22 03:00:00,26.8,82.0,1.8,1011.2,
2026-02-22 04:00:00,28.0,74.0,3.7,1011.1,
2026-02-22 05:00:00,29.3,67.0,5.5,1011.0,
2026-02-22 06:00:00,30.6,60.0,13.3,1009.9,
2026-02-22 07:00:00,30.6,60.0,7.4,1009.9,
2026-02-22 08:00:00,30.8,59.0,5.5,1008.8,
2026-02-22 09:00:00,30.9,58.0,5.5,1007.7,
2026-02-22 10:00:00,30.1,61.0,5.5,1007.6,
2026-02-22 11:00:00,29.3,64.0,5.5,1007.4,
2026-02-22 12:00:00,28.4,69.0,15.5,1006.2,
2026-02-22 13:00:00,27.9,71.0,5.5,1008.1,
2026-02-22 14:00:00,27.3,75.0,5.5,1008.9,
2026-02-22 15:00:00,26.7,79.0,3.7,1009.6,
2026-02-22 16:00:00,26.5,80.0,3.7,1009.8,
2026-02-22 17:00:00,26.3,81.0,3.7,1010.0,
2026-02-22 18:00:00,26.2,83.0,6.5,1009.4,
2026-02-22 19:00:00,25.8,84.0,1.8,1009.7,
2026-02-22 20:00:00,25.5,85.0,1.8,1009.1,
2026-02-22 21:00:00,25.3,86.0,1.8,1008.5,
2026-02-22 22:00:00,25.1,87.0,1.8,1008.5,
2026-02-22 23:00:00,24.9,87.0,1.8,1008.5,
2026-02-23 00:00:00,23.9,97.0,2.5,1007.5,
2026-02-23 01:00:00,25.4,86.0,1.8,1009.2,
2026-02-23 02:00:00,26.1,84.0,1.8,1010.0,
2026-02-23 03:00:00,26.8,82.0,1.8,1010.7,
2026-02-23 04:00:00,28.1,74.0,3.7,1010.7,
2026-02-23 05:00:00,29.4,66.0,3.7,1010.7,
2026-02-23 06:00:00,31.0,57.0,9.0,1009.2,
2026-02-23 07:00:00,30.9,59.0,5.5,1009.7,
2026-02-23 08:00:00,31.1,58.0,5.5,1008.7,
2026-02-23 09:00:00,31.3,57.0,5.5,1007.6,
2026-02-23 10:00:00,30.5,61.0,5.5,1007.5,
2026-02-23 11:00:00,29.7,64.0,5.5,1007.3,
2026-02-23 12:00:00,28.5,67.0,11.9,1006.3,
2026-02-23 13:00:00,28.2,72.0,5.5,1008.0,
2026-02-23 14:00:00,27.6,75.0,5.5,1008.8,
2026-02-23 15:00:00,26.9,79.0,3.7,1009.7,
2026-02-23 16:00:00,26.6,81.0,3.7,1009.9,
2026-02-23 17:00:00,26.4,82.0,1.8,1010.2,
2026-02-23 18:00:00,26.3,82.0,7.9,1009.3,
2026-02-23 19:00:00,25.8,85.0,1.8,1009.8,
2026-02-23 20:00:00,25.5,86.0,0.0,1009.1,
2026-02-23 21:00:00,25.1,88.0,0.0,1008.5,
2026-02-23 22:00:00,25.0,88.0,0.0,1008.5,
2026-02-23 23:00:00,24.8,89.0,0.0,1008.5,
2026-02-24 00:00:00,24.1,95.0,2.2,1007.5,
2026-02-24 01:00:00,25.4,88.0,1.8,1009.4,
2026-02-24 02:00:00,26.2,85.0,1.8,1010.2,
2026-02-24 03:00:00,26.9,82.0,1.8,1011.0,
2026-02-24 04:00:00,28.4,73.0,3.7,1011.0,
2026-02-24 05:00:00,29.8,65.0,3.7,1011.0,
2026-02-24 06:00:00,31.4,55.0,8.6,1010.1,
2026-02-24 07:00:00,31.4,57.0,5.5,1010.0,
2026-02-24 08:00:00,31.5,57.0,5.5,1009.0,
2026-02-24 09:00:00,31.6,56.0,5.5,1008.0,
2026-02-24 10:00:00,30.8,59.0,5.5,1008.0,
2026-02-24 11:00:00,29.9,62.0,5.5,1008.0,
