Datetime,PM2_5,PM10,NO2,CO,O3
2026-03-01 00:00:00+00:00,60.8,61.5,16.8,369.0,43.0
2026-03-01 01:00:00+00:00,61.5,62.2,14.4,387.0,66.0
2026-03-01 02:00:00+00:00,61.7,62.4,11.0,411.0,97.0
2026-03-01 03:00:00+00:00,54.7,55.6,7.9,416.0,125.0
2026-03-01 04:00:00+00:00,49.7,50.9,5.5,386.0,144.0
2026-03-01 05:00:00+00:00,49.5,50.9,3.4,338.0,158.0
2026-03-01 06:00:00+00:00,48.1,49.5,1.9,300.0,169.0
2026-03-01 07:00:00+00:00,47.3,48.5,1.3,281.0,176.0
2026-03-01 08:00:00+00:00,45.9,47.1,1.5,272.0,179.0
2026-03-01 09:00:00+00:00,44.7,46.0,1.8,268.0,179.0
2026-03-01 10:00:00+00:00,43.8,44.9,1.2,269.0,179.0
2026-03-01 11:00:00+00:00,42.4,43.5,0.9,275.0,176.0
2026-03-01 12:00:00+00:00,44.4,45.8,3.7,283.0,164.0
2026-03-01 13:00:00+00:00,51.0,52.2,13.8,293.0,140.0
2026-03-01 14:00:00+00:00,57.4,58.6,27.5,304.0,106.0
2026-03-01 15:00:00+00:00,64.7,65.9,37.4,316.0,79.0
2026-03-01 16:00:00+00:00,66.1,67.3,39.5,327.0,66.0
2026-03-01 17:00:00+00:00,65.7,66.8,37.6,338.0,59.0
2026-03-01 18:00:00+00:00,65.4,66.6,35.6,350.0,54.0
2026-03-01 19:00:00+00:00,64.5,65.7,34.6,363.0,49.0
2026-03-01 20:00:00+00:00,63.3,64.5,33.5,377.0,45.0
2026-03-01 21:00:00+00:00,63.1,64.3,32.4,398.0,41.0
2026-03-01 22:00:00+00:00,62.9,63.8,32.2,435.0,32.0
2026-03-01 23:00:00+00:00,62.6,63.8,32.0,479.0,23.0
2026-03-02 00:00:00+00:00,62.9,63.8,31.0,504.0,22.0
2026-03-02 01:00:00+00:00,63.1,64.0,24.6,500.0,53.0
2026-03-02 02:00:00+00:00,69.2,70.1,15.7,477.0,97.0
2026-03-02 03:00:00+00:00,49.7,51.5,8.5,445.0,132.0
2026-03-02 04:00:00+00:00,47.0,48.9,4.8,400.0,151.0
2026-03-02 05:00:00+00:00,45.6,47.4,2.9,345.0,162.0
2026-03-02 06:00:00+00:00,44.0,45.5,1.7,303.0,169.0
2026-03-02 07:00:00+00:00,41.8,43.3,1.0,282.0,172.0
2026-03-02 08:00:00+00:00,39.8,41.1,1.1,272.0,170.0
2026-03-02 09:00:00+00:00,38.3,39.6,1.4,268.0,167.0
2026-03-02 10:00:00+00:00,37.4,38.5,1.0,268.0,166.0
2026-03-02 11:00:00+00:00,37.1,38.4,0.8,273.0,164.0
2026-03-02 12:00:00+00:00,35.2,36.3,3.8,278.0,153.0
2026-03-02 13:00:00+00:00,39.9,40.9,12.4,281.0,134.0
2026-03-02 14:00:00+00:00,45.3,46.2,24.2,285.0,108.0
2026-03-02 15:00:00+00:00,51.3,52.4,32.7,294.0,87.0
2026-03-02 16:00:00+00:00,57.2,58.2,34.9,311.0,77.0
2026-03-02 17:00:00+00:00,59.8,61.0,33.8,333.0,74.0
2026-03-02 18:00:00+00:00,56.6,57.5,31.6,350.0,72.0
2026-03-02 19:00:00+00:00,52.0,53.0,28.5,355.0,73.0
2026-03-02 20:00:00+00:00,50.5,51.2,24.4,356.0,76.0
2026-03-02 21:00:00+00:00,50.8,51.5,21.1,361.0,78.0
2026-03-02 22:00:00+00:00,51.0,51.7,19.9,372.0,77.0
2026-03-02 23:00:00+00:00,51.1,51.7,19.5,388.0,75.0
2026-03-03 00:00:00+00:00,52.9,53.3,18.6,413.0,78.0
2026-03-03 01:00:00+00:00,55.6,56.1,16.5,465.0,90.0
2026-03-03 02:00:00+00:00,59.5,59.8,13.8,526.0,107.0
2026-03-03 03:00:00+00:00,46.3,47.0,11.0,544.0,123.0
2026-03-03 04:00:00+00:00,40.9,41.9,7.7,481.0,137.0
2026-03-03 05:00:00+00:00,37.8,38.9,4.3,375.0,149.0
2026-03-03 06:00:00+00:00,35.4,36.3,1.8,292.0,157.0
