Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-20 18:00:00,22.9,95.0,7.9,1014.4,
2026-02-20 19:00:00,,,,,
2026-02-20 20:00:00,,,,,
2026-02-20 21:00:00,,,,,
2026-02-20 22:00:00,,,,,
2026-02-20 23:00:00,,,,,
2026-02-21 00:00:00,21.8,96.0,4.0,1011.0,
2026-02-21 01:00:00,,,,,
2026-02-21 02:00:00,,,,,
2026-02-21 03:00:00,,,,,
2026-02-21 04:00:00,,,,,
2026-02-21 05:00:00,,,,,
2026-02-21 06:00:00,30.1,54.0,13.3,1012.3,
2026-02-21 07:00:00,,,,,
2026-02-21 08:00:00,,,,,
2026-02-21 09:00:00,,,,,
2026-02-21 10:00:00,,,,,
2026-02-21 11:00:00,,,,,
2026-02-21 12:00:00,26.0,75.0,7.9,1009.5,
2026-02-21 13:00:00,,,,,
2026-02-21 14:00:00,,,,,
2026-02-21 15:00:00,,,,,
2026-02-21 16:00:00,,,,,
2026-02-21 17:00:00,,,,,
2026-02-21 18:00:00,22.2,94.0,5.4,1011.8,
2026-02-21 19:00:00,,,,,
2026-02-21 20:00:00,,,,,
2026-02-21 21:00:00,,,,,
2026-02-21 22:00:00,,,,,
2026-02-21 23:00:00,,,,,
2026-02-22 00:00:00,21.6,97.0,4.3,1008.6,
2026-02-22 01:00:00,,,,,
2026-02-22 02:00:00,,,,,
2026-02-22 03:00:00,,,,,
2026-02-22 04:00:00,,,,,
2026-02-22 05:00:00,,,,,
2026-02-22 06:00:00,29.6,59.0,9.4,1010.5,
2026-02-22 07:00:00,,,,,
2026-02-22 08:00:00,,,,,
2026-02-22 09:00:00,,,,,
2026-02-22 10:00:00,,,,,
2026-02-22 11:00:00,,,,,
2026-02-22 12:00:00,31.1,46.0,8.3,1005.2,
2026-02-22 13:00:00,,,,,
2026-02-22 14:00:00,,,,,
2026-02-22 15:00:00,,,,,
2026-02-22 16:00:00,,,,,
2026-02-22 17:00:00,,,,,
2026-02-22 18:00:00,22.4,93.0,5.4,1010.6,
2026-02-22 19:00:00,,,,,
2026-02-22 20:00:00,,,,,
2026-02-22 21:00:00,,,,,
2026-02-22 22:00:00,,,,,
2026-02-22 23:00:00,,,,,
2026-02-23 00:00:00,21.0,93.0,1.8,1008.7,
2026-02-23 01:00:00,,,,,
2026-02-23 02:00:00,,,,,
2026-02-23 03:00:00,,,,,
2026-02-23 04:00:00,,,,,
2026-02-23 05:00:00,,,,,
2026-02-23 06:00:00,29.7,56.0,4.7,1010.1,
2026-02-23 07:00:00,,,,,
2026-02-23 08:00:00,,,,,
2026-02-23 09:00:00,,,,,
2026-02-23 10:00:00,,,,,
2026-02-23 11:00:00,,,,,
2026-02-23 12:00:00,31.5,40.0,6.1,1005.5,
