Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-13 20:30:00+00:00,212.0,443.0,180.292,5.427,13.1
2026-02-13 22:45:00+00:00,162.0,305.0,145.7,3.092,13.4
2026-02-14 00:30:00+00:00,174.0,309.0,152.656,3.401,16.6
2026-02-14 02:30:00+00:00,186.0,398.0,161.868,3.71,19.2
2026-02-14 04:30:00+00:00,199.0,588.0,192.512,2.588,18.2
2026-02-14 06:30:00+00:00,139.0,239.0,137.428,1.832,11.7
2026-02-14 08:30:00+00:00,84.0,190.0,102.46,1.66,10.9
2026-02-14 10:30:00+00:00,72.0,190.0,117.312,1.466,17.5
2026-02-14 12:30:00+00:00,22.0,141.0,189.316,1.683,19.0
2026-02-14 14:30:00+00:00,108.0,343.0,221.088,2.244,19.6
2026-02-14 16:30:00+00:00,168.0,400.0,230.112,3.607,14.2
2026-02-14 18:15:00+00:00,155.0,382.0,252.86,4.088,14.6
2026-02-14 20:30:00+00:00,145.0,311.0,237.82,3.275,14.7
2026-02-14 22:30:00+00:00,172.0,245.0,170.14,3.126,13.1
2026-02-15 00:30:00+00:00,121.0,226.0,174.652,2.416,11.6
2026-02-15 02:30:00+00:00,125.0,272.0,166.004,2.748,15.7
2026-02-15 04:30:00+00:00,118.0,454.0,115.244,2.015,14.6
2026-02-15 06:30:00+00:00,95.0,454.0,100.956,1.969,18.3
2026-02-15 08:30:00+00:00,30.0,136.0,90.992,1.637,16.1
2026-02-15 10:30:00+00:00,57.0,162.0,96.068,1.351,14.5
2026-02-15 12:30:00+00:00,124.0,271.0,137.804,1.511,11.5
2026-02-15 14:30:00+00:00,100.0,342.0,239.136,2.359,15.7
2026-02-15 16:30:00+00:00,140.0,415.0,259.064,3.95,20.4
2026-02-15 18:15:00+00:00,141.0,464.0,173.336,6.572,17.7
2026-02-15 20:30:00+00:00,235.0,533.0,181.044,6.389,17.0
2026-02-15 22:30:00+00:00,215.0,398.0,172.96,6.034,12.2
2026-02-16 00:30:00+00:00,182.0,342.0,128.216,5.049,15.2
2026-02-16 02:30:00+00:00,174.0,398.0,166.38,4.431,21.4
2026-02-16 04:30:00+00:00,153.0,565.0,189.128,3.046,19.3
2026-02-17 08:30:00+00:00,38.0,122.0,12.596,1.374,15.1
2026-02-17 10:30:00+00:00,50.0,121.0,19.364,1.317,17.4
2026-02-17 12:30:00+00:00,58.0,169.0,61.288,1.546,18.4
2026-02-17 14:30:00+00:00,92.0,265.0,129.908,2.233,20.3
2026-02-17 16:45:00+00:00,152.0,392.0,100.204,3.595,26.5
2026-02-18 02:30:00+00:00,173.0,306.0,70.312,2.553,20.0
2026-02-18 04:30:00+00:00,106.0,230.0,78.396,1.935,17.2
2026-02-18 06:45:00+00:00,167.0,315.0,68.244,1.832,12.1
2026-02-18 08:30:00+00:00,74.0,141.0,53.956,1.843,16.5
2026-02-18 10:30:00+00:00,6.0,44.0,114.868,1.66,22.1
2026-02-18 12:30:00+00:00,64.0,150.0,144.572,2.405,18.9
2026-02-18 14:30:00+00:00,117.0,283.0,123.328,2.691,19.3
2026-02-18 16:30:00+00:00,97.0,205.0,151.34,2.53,19.1
