Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 12:00:00,27.3,45.0,7.4,1010.5,
2026-02-21 13:00:00,25.1,53.0,3.7,1010.9,
2026-02-21 14:00:00,22.8,62.0,1.8,1011.2,
2026-02-21 15:00:00,20.5,74.0,0.0,1011.6,
2026-02-21 16:00:00,19.6,77.0,0.0,1011.8,
2026-02-21 17:00:00,18.6,80.0,0.0,1011.9,
2026-02-21 18:00:00,17.7,83.0,0.0,1012.0,
2026-02-21 19:00:00,17.1,85.0,0.0,1011.7,
2026-02-21 20:00:00,16.6,86.0,0.0,1011.3,
2026-02-21 21:00:00,16.0,89.0,0.0,1011.0,
2026-02-21 22:00:00,15.4,90.0,0.0,1010.9,
2026-02-21 23:00:00,14.8,92.0,0.0,1010.8,
2026-02-22 00:00:00,14.2,94.0,0.0,1010.6,
2026-02-22 01:00:00,14.5,93.0,1.8,1011.1,
2026-02-22 02:00:00,14.8,93.0,1.8,1011.6,
2026-02-22 03:00:00,15.1,92.0,1.8,1012.1,
2026-02-22 04:00:00,18.5,75.0,3.7,1012.0,
2026-02-22 05:00:00,21.9,61.0,5.5,1011.9,
2026-02-22 06:00:00,25.3,50.0,7.4,1011.7,
2026-02-22 07:00:00,26.6,45.0,9.3,1010.6,
2026-02-22 08:00:00,27.8,42.0,9.3,1009.5,
2026-02-22 09:00:00,29.0,38.0,11.1,1008.4,
2026-02-22 10:00:00,28.5,41.0,9.3,1008.0,
2026-02-22 11:00:00,28.0,43.0,7.4,1007.7,
2026-02-22 12:00:00,27.6,46.0,7.4,1007.3,
2026-02-22 13:00:00,25.3,54.0,5.5,1007.8,
2026-02-22 14:00:00,23.0,64.0,3.7,1008.3,
2026-02-22 15:00:00,20.7,75.0,1.8,1008.9,
2026-02-22 16:00:00,19.8,78.0,1.8,1009.1,
2026-02-22 17:00:00,19.0,82.0,1.8,1009.4,
2026-02-22 18:00:00,18.1,86.0,1.8,1009.7,
2026-02-22 19:00:00,17.6,88.0,1.8,1009.5,
2026-02-22 20:00:00,17.1,89.0,0.0,1009.3,
2026-02-22 21:00:00,16.5,92.0,0.0,1009.1,
2026-02-22 22:00:00,16.1,93.0,1.8,1009.1,
2026-02-22 23:00:00,15.7,94.0,1.8,1009.1,
2026-02-23 00:00:00,15.3,95.0,1.8,1009.1,
2026-02-23 01:00:00,15.5,94.0,1.8,1009.7,
2026-02-23 02:00:00,15.7,94.0,3.7,1010.4,
2026-02-23 03:00:00,15.9,94.0,3.7,1011.0,
2026-02-23 04:00:00,19.1,77.0,3.7,1011.0,
2026-02-23 05:00:00,22.2,64.0,5.5,1011.0,
2026-02-23 06:00:00,25.4,53.0,7.4,1011.0,
2026-02-23 07:00:00,26.5,48.0,7.4,1010.0,
2026-02-23 08:00:00,27.6,44.0,9.3,1009.0,
2026-02-23 09:00:00,28.6,40.0,9.3,1008.1,
2026-02-23 10:00:00,28.1,43.0,9.3,1007.8,
2026-02-23 11:00:00,27.7,45.0,7.4,1007.6,
2026-02-23 12:00:00,27.2,48.0,5.5,1007.4,
2026-02-23 13:00:00,25.0,55.0,5.5,1008.1,
2026-02-23 14:00:00,22.8,64.0,3.7,1008.8,
2026-02-23 15:00:00,20.6,75.0,3.7,1009.5,
2026-02-23 16:00:00,19.8,78.0,1.8,1009.8,
2026-02-23 17:00:00,18.9,82.0,1.8,1010.0,
2026-02-23 18:00:00,18.0,85.0,0.0,1010.3,
2026-02-23 19:00:00,17.6,86.0,0.0,1010.3,
2026-02-23 20:00:00,17.1,88.0,0.0,1010.2,
2026-02-23 21:00:00,16.6,89.0,0.0,1010.2,
2026-02-23 22:00:00,16.1,90.0,0.0,1010.3,
2026-02-23 23:00:00,15.6,92.0,0.0,1010.3,
2026-02-24 00:00:00,15.1,93.0,0.0,1010.4,
2026-02-24 01:00:00,15.4,92.0,1.8,1010.9,
2026-02-24 02:00:00,15.6,92.0,1.8,1011.5,
2026-02-24 03:00:00,15.9,91.0,1.8,1012.1,
2026-02-24 04:00:00,19.0,76.0,3.7,1012.2,
2026-02-24 05:00:00,22.1,64.0,5.5,1012.2,
2026-02-24 06:00:00,25.1,54.0,7.4,1012.2,
2026-02-24 07:00:00,26.2,50.0,9.3,1011.3,
2026-02-24 08:00:00,27.3,46.0,9.3,1010.4,
2026-02-24 09:00:00,28.4,42.0,9.3,1009.4,
2026-02-24 10:00:00,27.9,45.0,7.4,1009.2,
2026-02-24 11:00:00,27.3,47.0,7.4,1009.1,
