Datetime,PM2_5,PM10,NO2,CO,O3
2026-05-05 00:00:00+00:00,116.4,935.0,19.9,464.0,74.0
2026-05-05 01:00:00+00:00,92.0,547.6,21.2,513.0,82.0
2026-05-05 02:00:00+00:00,68.9,316.6,22.8,580.0,95.0
2026-05-05 03:00:00+00:00,71.0,396.7,22.4,612.0,112.0
2026-05-05 04:00:00+00:00,85.4,642.6,17.9,574.0,138.0
2026-05-05 05:00:00+00:00,73.3,497.3,11.4,500.0,169.0
2026-05-05 06:00:00+00:00,51.8,270.1,6.5,440.0,194.0
2026-05-05 07:00:00+00:00,46.4,208.2,4.5,408.0,208.0
2026-05-05 08:00:00+00:00,43.2,178.8,4.2,390.0,215.0
2026-05-05 09:00:00+00:00,40.7,162.1,5.0,387.0,216.0
2026-05-05 10:00:00+00:00,40.7,156.9,6.7,398.0,213.0
2026-05-05 11:00:00+00:00,42.3,156.0,9.5,426.0,204.0
2026-05-05 12:00:00+00:00,58.3,331.6,19.0,479.0,195.0
2026-05-05 13:00:00+00:00,52.5,225.4,26.2,565.0,171.0
2026-05-05 14:00:00+00:00,57.3,187.7,36.2,676.0,137.0
2026-05-05 15:00:00+00:00,60.1,168.1,44.1,801.0,108.0
2026-05-05 16:00:00+00:00,62.9,158.8,48.0,953.0,89.0
2026-05-05 17:00:00+00:00,66.8,151.3,49.8,1120.0,75.0
2026-05-05 18:00:00+00:00,67.8,136.9,50.4,1251.0,64.0
2026-05-05 19:00:00+00:00,68.5,126.7,49.1,1333.0,57.0
2026-05-05 20:00:00+00:00,70.5,122.5,46.7,1380.0,52.0
2026-05-05 21:00:00+00:00,72.4,118.5,45.9,1385.0,48.0
2026-05-05 22:00:00+00:00,75.0,118.3,49.8,1335.0,37.0
2026-05-05 23:00:00+00:00,79.4,123.4,55.4,1243.0,27.0
2026-05-06 00:00:00+00:00,92.7,182.1,64.8,1146.0,22.0
2026-05-06 01:00:00+00:00,93.6,152.3,55.6,1063.0,54.0
2026-05-06 02:00:00+00:00,87.3,135.5,42.5,974.0,99.0
2026-05-06 03:00:00+00:00,78.0,222.1,30.7,857.0,139.0
2026-05-06 04:00:00+00:00,81.3,369.7,21.3,675.0,170.0
2026-05-06 05:00:00+00:00,91.7,583.0,13.2,465.0,197.0
2026-05-06 06:00:00+00:00,87.5,599.8,7.3,309.0,217.0
2026-05-06 07:00:00+00:00,80.1,547.6,4.6,250.0,229.0
2026-05-06 08:00:00+00:00,75.7,514.1,4.3,246.0,233.0
2026-05-06 09:00:00+00:00,71.9,493.6,4.7,253.0,232.0
2026-05-06 10:00:00+00:00,71.0,508.5,4.0,258.0,227.0
2026-05-06 11:00:00+00:00,71.0,523.4,4.2,274.0,215.0
2026-05-06 12:00:00+00:00,67.3,558.8,8.8,291.0,199.0
2026-05-06 13:00:00+00:00,63.3,401.4,35.0,298.0,159.0
2026-05-06 14:00:00+00:00,79.9,381.8,70.3,306.0,104.0
2026-05-06 15:00:00+00:00,95.7,371.6,91.2,345.0,66.0
2026-05-06 16:00:00+00:00,100.4,467.5,84.0,457.0,60.0
2026-05-06 17:00:00+00:00,104.5,594.2,62.2,599.0,71.0
2026-05-06 18:00:00+00:00,92.4,456.3,43.1,673.0,81.0
2026-05-06 19:00:00+00:00,108.0,676.1,32.6,617.0,85.0
2026-05-06 20:00:00+00:00,113.6,748.8,24.6,492.0,90.0
2026-05-06 21:00:00+00:00,76.8,352.0,18.6,384.0,95.0
2026-05-06 22:00:00+00:00,134.6,1132.5,14.4,311.0,102.0
2026-05-06 23:00:00+00:00,153.7,1326.2,12.0,255.0,109.0
2026-05-07 00:00:00+00:00,174.6,1519.9,10.9,247.0,117.0
2026-05-07 01:00:00+00:00,202.1,1750.9,11.9,334.0,125.0
2026-05-07 02:00:00+00:00,206.3,1706.2,14.3,469.0,134.0
2026-05-07 03:00:00+00:00,228.2,2108.5,15.0,543.0,145.0
2026-05-07 04:00:00+00:00,235.6,2302.2,12.1,489.0,160.0
2026-05-07 04:15:00+00:00,80.5,142.6,56.174,2.301,22.43
2026-05-07 05:00:00+00:00,229.6,2324.6,7.7,373.0,178.0
