Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-03-29 11:00:00,28.4,44.0,9.3,1006.5,
2026-03-29 12:00:00,28.2,44.0,11.1,1006.2,
2026-03-29 13:00:00,27.1,48.0,11.1,1006.8,
2026-03-29 14:00:00,26.0,52.0,9.3,1007.3,
2026-03-29 15:00:00,24.9,57.0,9.3,1007.8,
2026-03-29 16:00:00,24.5,59.0,9.3,1008.2,
2026-03-29 17:00:00,24.0,61.0,7.4,1008.6,
2026-03-29 18:00:00,23.6,63.0,5.5,1009.0,
2026-03-29 19:00:00,23.0,66.0,5.5,1008.7,
2026-03-29 20:00:00,22.4,69.0,3.7,1008.5,
2026-03-29 21:00:00,21.8,72.0,3.7,1008.3,
2026-03-29 22:00:00,21.6,75.0,3.7,1008.2,
2026-03-29 23:00:00,21.5,77.0,3.7,1008.2,
2026-03-30 00:00:00,21.3,80.0,3.7,1008.2,
