Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-18 04:15:00+00:00,0.0,0.0,5.02,0.401,55.83
2026-02-18 06:30:00+00:00,0.0,0.0,2.124,0.286,93.01
2026-02-18 08:15:00+00:00,0.0,0.0,1.56,0.275,98.37
2026-02-18 10:15:00+00:00,0.0,0.0,2.707,0.24,86.8
2026-02-18 12:15:00+00:00,0.0,0.0,5.226,0.252,27.0
2026-02-18 14:15:00+00:00,0.0,0.0,7.727,0.332,27.86
2026-02-18 16:15:00+00:00,0.0,0.0,27.41,0.733,0.0
2026-02-19 08:00:00+00:00,0.0,0.0,28.576,0.286,42.79
2026-02-19 09:45:00+00:00,0.0,0.0,39.969,0.263,14.04
2026-02-19 12:15:00+00:00,0.0,0.0,24.12,0.286,0.43
2026-02-19 14:00:00+00:00,0.0,0.0,6.956,0.343,15.96
2026-02-19 16:15:00+00:00,81.45,119.0,0.451,1.626,12.53
2026-02-19 17:45:00+00:00,76.73,109.0,0.508,1.248,12.55
2026-02-19 18:15:00+00:00,53.96,109.0,0.451,1.26,12.86
2026-02-19 20:00:00+00:00,90.08,128.0,0.282,1.088,12.16
2026-02-19 22:00:00+00:00,72.57,106.0,0.884,0.847,12.52
2026-02-19 23:15:00+00:00,80.36,98.0,0.714,0.71,12.0
2026-02-20 02:00:00+00:00,75.32,107.0,0.282,0.767,12.34
2026-02-20 04:00:00+00:00,63.49,108.0,0.056,0.847,13.99
2026-02-20 06:00:00+00:00,54.24,115.0,0.282,0.779,19.14
2026-02-20 08:15:00+00:00,54.94,67.0,0.056,0.355,24.64
2026-02-20 10:00:00+00:00,40.06,68.0,0.056,0.424,21.8
2026-02-20 12:15:00+00:00,64.78,79.0,0.846,0.721,15.0
2026-02-20 14:00:00+00:00,69.23,147.0,0.545,2.485,11.48
2026-02-20 16:00:00+00:00,131.2,160.0,0.489,2.027,12.64
2026-02-20 18:15:00+00:00,116.44,142.0,0.639,1.637,12.32
2026-02-20 20:15:00+00:00,76.26,93.0,0.132,0.882,13.36
2026-02-20 22:00:00+00:00,64.78,92.0,0.714,0.836,12.8
2026-02-20 23:30:00+00:00,65.95,93.71,0.451,0.801,12.43
2026-02-21 02:15:00+00:00,60.95,89.0,0.188,0.756,12.64
2026-02-21 04:00:00+00:00,98.4,120.0,0.602,0.893,15.52
2026-02-21 06:00:00+00:00,72.98,89.0,0.827,0.79,19.44
2026-02-21 07:45:00+00:00,81.18,99.0,0.282,0.653,19.62
2026-02-21 10:15:00+00:00,51.66,63.0,0.639,0.447,20.5
2026-02-21 12:00:00+00:00,68.06,83.0,0.282,0.721,14.94
2026-02-21 14:00:00+00:00,89.38,109.0,0.113,1.511,13.9
2026-02-21 16:15:00+00:00,129.56,158.0,0.056,2.13,14.0
2026-02-21 18:00:00+00:00,92.19,131.0,0.451,1.122,13.2
2026-02-21 23:30:00+00:00,50.02,71.29,0.451,0.584,18.55
2026-02-22 04:00:00+00:00,59.86,85.0,0.602,0.653,16.96
2026-02-22 06:15:00+00:00,54.8,80.0,0.639,0.481,18.86
2026-02-22 08:15:00+00:00,41.82,61.0,0.583,0.24,19.47
2026-02-22 10:00:00+00:00,41.82,51.0,0.658,0.206,20.85
2026-02-22 12:15:00+00:00,21.05,38.0,0.188,0.504,16.86
2026-02-22 14:00:00+00:00,61.5,75.0,0.451,1.053,14.63
2026-02-22 16:00:00+00:00,68.76,117.0,0.658,1.431,12.74
2026-02-22 18:15:00+00:00,58.55,89.0,0.395,1.065,12.54
2026-02-22 20:00:00+00:00,52.48,64.0,0.658,0.595,12.89
2026-02-22 22:15:00+00:00,64.37,94.0,0.508,0.836,12.0
2026-02-22 23:45:00+00:00,59.31,108.0,0.395,0.824,12.55
2026-02-23 02:00:00+00:00,77.08,94.0,0.602,0.756,12.89
2026-02-23 04:15:00+00:00,70.52,103.0,0.188,0.744,16.29
2026-02-23 06:15:00+00:00,71.34,87.0,0.395,0.573,19.07
2026-02-23 08:15:00+00:00,54.94,67.0,0.32,0.366,22.5
2026-02-23 10:00:00+00:00,35.26,50.0,0.282,0.298,22.96
2026-02-23 12:00:00+00:00,39.77,58.0,0.395,0.55,17.64
2026-02-23 14:00:00+00:00,65.6,80.0,0.884,0.801,16.56
2026-02-23 16:15:00+00:00,65.33,119.0,0.714,1.34,12.64
2026-02-23 18:00:00+00:00,82.14,120.0,0.771,1.534,12.55
2026-02-23 18:15:00+00:00,98.4,120.0,0.583,1.363,13.15
2026-02-23 20:00:00+00:00,74.62,106.0,0.545,0.836,15.22
2026-02-23 21:45:00+00:00,66.89,95.0,0.451,0.847,13.75
2026-02-23 23:45:00+00:00,42.05,89.0,0.545,0.79,13.01
2026-02-24 04:00:00+00:00,95.94,175.0,0.658,0.813,14.54
2026-02-24 06:00:00+00:00,106.95,152.0,0.451,0.767,17.05
2026-02-24 08:15:00+00:00,72.98,89.0,0.263,0.447,20.25
2026-02-24 10:00:00+00:00,41.59,59.0,0.489,0.366,21.0
