Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-20 18:00:00,19.6,66.0,6.5,1013.8,
2026-02-20 19:00:00,,,,,
2026-02-20 20:00:00,,,,,
2026-02-20 21:00:00,,,,,
2026-02-20 22:00:00,,,,,
2026-02-20 23:00:00,,,,,
2026-02-21 00:00:00,17.1,74.0,3.2,1012.4,
2026-02-21 01:00:00,,,,,
2026-02-21 02:00:00,,,,,
2026-02-21 03:00:00,,,,,
2026-02-21 04:00:00,,,,,
2026-02-21 05:00:00,,,,,
2026-02-21 06:00:00,27.3,43.0,5.8,1011.6,
2026-02-21 07:00:00,,,,,
2026-02-21 08:00:00,,,,,
2026-02-21 09:00:00,,,,,
2026-02-21 10:00:00,,,,,
2026-02-21 11:00:00,,,,,
2026-02-21 12:00:00,23.6,56.0,2.9,1007.5,
2026-02-21 13:00:00,,,,,
2026-02-21 14:00:00,,,,,
2026-02-21 15:00:00,,,,,
2026-02-21 16:00:00,,,,,
2026-02-21 17:00:00,,,,,
2026-02-21 18:00:00,20.0,63.0,9.0,1009.1,
2026-02-21 19:00:00,,,,,
2026-02-21 20:00:00,,,,,
2026-02-21 21:00:00,,,,,
2026-02-21 22:00:00,,,,,
2026-02-21 23:00:00,,,,,
2026-02-22 00:00:00,17.6,69.0,1.1,1009.1,
2026-02-22 01:00:00,,,,,
2026-02-22 02:00:00,,,,,
2026-02-22 03:00:00,,,,,
2026-02-22 04:00:00,,,,,
2026-02-22 05:00:00,,,,,
2026-02-22 06:00:00,27.1,45.0,6.5,1009.5,
2026-02-22 07:00:00,,,,,
2026-02-22 08:00:00,,,,,
2026-02-22 09:00:00,,,,,
2026-02-22 10:00:00,,,,,
2026-02-22 11:00:00,,,,,
2026-02-22 12:00:00,24.0,61.0,0.4,1005.6,
2026-02-22 13:00:00,,,,,
2026-02-22 14:00:00,,,,,
2026-02-22 15:00:00,,,,,
2026-02-22 16:00:00,,,,,
2026-02-22 17:00:00,,,,,
2026-02-22 18:00:00,17.9,82.0,3.2,1008.0,
2026-02-22 19:00:00,,,,,
2026-02-22 20:00:00,,,,,
2026-02-22 21:00:00,,,,,
2026-02-22 22:00:00,,,,,
2026-02-22 23:00:00,,,,,
2026-02-23 00:00:00,15.5,86.0,2.9,1009.1,
2026-02-23 01:00:00,,,,,
2026-02-23 02:00:00,,,,,
2026-02-23 03:00:00,,,,,
2026-02-23 04:00:00,,,,,
2026-02-23 05:00:00,,,,,
2026-02-23 06:00:00,27.3,44.0,6.5,1009.1,
2026-02-23 07:00:00,,,,,
2026-02-23 08:00:00,,,,,
2026-02-23 09:00:00,,,,,
2026-02-23 10:00:00,,,,,
2026-02-23 11:00:00,,,,,
2026-02-23 12:00:00,23.7,53.0,0.7,1006.1,
