Datetime,PM2_5,PM10,NO2,CO,O3
2026-05-05 00:00:00+00:00,30.0,44.1,10.5,328.0,89.0
2026-05-05 01:00:00+00:00,29.5,42.0,10.0,392.0,98.0
2026-05-05 02:00:00+00:00,28.2,41.8,9.1,470.0,110.0
2026-05-05 03:00:00+00:00,26.1,42.6,8.0,508.0,124.0
2026-05-05 04:00:00+00:00,23.8,44.8,6.3,468.0,142.0
2026-05-05 05:00:00+00:00,21.9,44.8,4.3,388.0,161.0
2026-05-05 06:00:00+00:00,20.5,44.8,2.8,325.0,174.0
2026-05-05 07:00:00+00:00,18.8,43.8,2.2,303.0,176.0
2026-05-05 08:00:00+00:00,16.9,41.1,2.0,300.0,172.0
2026-05-05 09:00:00+00:00,16.1,39.6,2.3,303.0,168.0
2026-05-05 10:00:00+00:00,15.9,38.9,1.6,315.0,170.0
2026-05-05 11:00:00+00:00,16.1,38.6,1.3,334.0,172.0
2026-05-05 12:00:00+00:00,17.2,38.6,5.3,346.0,165.0
2026-05-05 13:00:00+00:00,24.2,45.8,12.5,343.0,142.0
2026-05-05 14:00:00+00:00,33.1,53.0,22.2,333.0,111.0
2026-05-05 15:00:00+00:00,36.7,54.9,27.5,327.0,89.0
2026-05-05 16:00:00+00:00,37.5,54.0,24.2,334.0,86.0
2026-05-05 17:00:00+00:00,33.3,44.9,16.5,346.0,93.0
2026-05-05 18:00:00+00:00,31.3,40.3,10.4,348.0,98.0
2026-05-05 19:00:00+00:00,30.7,39.1,8.3,330.0,97.0
2026-05-05 20:00:00+00:00,29.9,38.3,7.9,302.0,95.0
2026-05-05 21:00:00+00:00,28.5,36.7,8.0,286.0,91.0
2026-05-05 22:00:00+00:00,27.0,34.6,8.8,291.0,83.0
2026-05-05 23:00:00+00:00,25.3,32.1,10.2,306.0,74.0
2026-05-06 00:00:00+00:00,25.8,30.2,9.0,322.0,77.0
2026-05-06 01:00:00+00:00,24.2,28.0,8.7,340.0,80.0
2026-05-06 02:00:00+00:00,23.7,28.2,8.3,358.0,84.0
2026-05-06 03:00:00+00:00,25.1,32.1,7.4,364.0,93.0
2026-05-06 04:00:00+00:00,26.5,36.7,5.7,349.0,110.0
2026-05-06 05:00:00+00:00,26.8,40.9,3.5,323.0,131.0
2026-05-06 06:00:00+00:00,25.5,43.9,2.0,299.0,146.0
2026-05-06 07:00:00+00:00,24.9,49.1,1.5,280.0,152.0
2026-05-06 08:00:00+00:00,25.4,53.8,1.6,263.0,152.0
2026-05-06 09:00:00+00:00,27.8,59.8,2.0,258.0,151.0
2026-05-06 10:00:00+00:00,27.1,56.1,2.5,274.0,151.0
2026-05-06 11:00:00+00:00,27.8,56.5,3.3,303.0,150.0
2026-05-06 12:00:00+00:00,20.5,43.2,4.5,325.0,156.0
2026-05-06 13:00:00+00:00,22.7,43.7,8.6,336.0,139.0
2026-05-06 14:00:00+00:00,28.7,46.6,14.1,341.0,116.0
2026-05-06 15:00:00+00:00,28.5,43.0,17.3,340.0,100.0
2026-05-06 16:00:00+00:00,26.4,38.4,15.9,334.0,99.0
2026-05-06 17:00:00+00:00,24.9,35.3,12.3,322.0,106.0
2026-05-06 18:00:00+00:00,23.1,31.5,9.2,306.0,108.0
2026-05-06 19:00:00+00:00,20.1,25.4,7.8,284.0,101.0
2026-05-06 20:00:00+00:00,17.2,20.6,7.0,258.0,90.0
2026-05-06 21:00:00+00:00,15.3,18.1,6.8,239.0,80.0
2026-05-06 22:00:00+00:00,14.1,17.1,7.6,228.0,71.0
2026-05-06 23:00:00+00:00,13.6,16.9,8.9,223.0,62.0
2026-05-07 00:00:00+00:00,14.0,17.6,9.6,238.0,59.0
2026-05-07 01:00:00+00:00,16.2,20.1,8.9,292.0,65.0
2026-05-07 02:00:00+00:00,15.0,19.7,7.6,366.0,76.0
2026-05-07 03:00:00+00:00,14.5,20.3,6.1,406.0,89.0
2026-05-07 04:00:00+00:00,14.9,21.9,4.6,382.0,105.0
2026-05-07 05:00:00+00:00,15.7,23.4,3.0,324.0,123.0
