Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-26 14:00:00,27.8,44.0,5.5,1009.9,
2026-02-26 15:00:00,26.3,51.0,3.7,1011.0,
2026-02-26 16:00:00,,,,,
2026-02-26 17:00:00,,,,,
2026-02-26 18:00:00,21.9,55.0,6.5,1009.3,
2026-02-26 19:00:00,,,,,
2026-02-26 20:00:00,,,,,
2026-02-26 21:00:00,,,,,
2026-02-26 22:00:00,,,,,
2026-02-26 23:00:00,,,,,
2026-02-27 00:00:00,20.7,55.0,9.0,1008.1,
2026-02-27 01:00:00,,,,,
2026-02-27 02:00:00,,,,,
2026-02-27 03:00:00,,,,,
2026-02-27 04:00:00,,,,,
2026-02-27 05:00:00,,,,,
2026-02-27 06:00:00,30.3,32.0,10.1,1010.3,
2026-02-27 07:00:00,,,,,
2026-02-27 08:00:00,,,,,
2026-02-27 09:00:00,,,,,
2026-02-27 10:00:00,,,,,
2026-02-27 11:00:00,,,,,
2026-02-27 12:00:00,29.7,36.0,4.3,1006.1,
2026-02-27 13:00:00,,,,,
2026-02-27 14:00:00,,,,,
2026-02-27 15:00:00,,,,,
2026-02-27 16:00:00,,,,,
2026-02-27 17:00:00,,,,,
2026-02-27 18:00:00,22.1,52.0,7.6,1007.9,
2026-02-27 19:00:00,,,,,
2026-02-27 20:00:00,,,,,
2026-02-27 21:00:00,,,,,
2026-02-27 22:00:00,,,,,
2026-02-27 23:00:00,,,,,
2026-02-28 00:00:00,20.1,57.0,8.3,1006.9,
2026-02-28 01:00:00,,,,,
2026-02-28 02:00:00,,,,,
2026-02-28 03:00:00,,,,,
2026-02-28 04:00:00,,,,,
2026-02-28 05:00:00,,,,,
2026-02-28 06:00:00,30.7,33.0,11.2,1009.7,
2026-02-28 07:00:00,,,,,
2026-02-28 08:00:00,,,,,
2026-02-28 09:00:00,,,,,
2026-02-28 10:00:00,,,,,
2026-02-28 11:00:00,,,,,
2026-02-28 12:00:00,30.3,34.0,6.1,1006.2,
2026-02-28 13:00:00,,,,,
2026-02-28 14:00:00,,,,,
2026-02-28 15:00:00,,,,,
2026-02-28 16:00:00,,,,,
2026-02-28 17:00:00,,,,,
2026-02-28 18:00:00,23.1,44.0,9.7,1008.5,
2026-02-28 19:00:00,,,,,
2026-02-28 20:00:00,,,,,
2026-02-28 21:00:00,21.7,65.0,14.4,1008.0,
2026-02-28 22:00:00,21.2,66.0,13.0,1007.6,0.0
2026-02-28 23:00:00,20.9,66.0,11.5,1007.6,0.0
2026-03-01 00:00:00,20.7,65.0,11.2,1007.7,0.0
2026-03-01 01:00:00,20.2,66.0,13.7,1009.8,0.0
2026-03-01 02:00:00,20.6,69.0,14.8,1011.6,0.0
2026-03-01 03:00:00,22.9,60.0,13.7,1012.3,0.0
2026-03-01 04:00:00,25.2,51.0,10.4,1012.7,0.0
2026-03-01 05:00:00,27.6,43.0,11.2,1012.6,0.0
2026-03-01 06:00:00,29.2,38.0,11.2,1011.6,0.0
2026-03-01 07:00:00,30.2,36.0,9.4,1010.4,0.0
2026-03-01 08:00:00,30.8,35.0,6.5,1009.3,0.0
2026-03-01 09:00:00,31.2,34.0,5.0,1008.3,0.0
2026-03-01 10:00:00,31.1,33.0,5.8,1007.6,0.0
2026-03-01 11:00:00,30.8,33.0,7.2,1007.7,0.0
2026-03-01 12:00:00,29.6,44.0,4.7,1008.1,0.0
2026-03-01 13:00:00,27.6,46.0,5.8,1008.8,0.0
