Datetime,PM2_5,PM10,NO2,CO,O3
2026-03-01 00:00:00+00:00,31.9,86.6,8.6,658.0,68.0
2026-03-01 01:00:00+00:00,31.1,81.0,11.7,671.0,61.0
2026-03-01 02:00:00+00:00,32.7,83.1,15.8,680.0,52.0
2026-03-01 03:00:00+00:00,32.7,74.3,17.2,648.0,54.0
2026-03-01 04:00:00+00:00,28.7,73.8,13.3,536.0,77.0
2026-03-01 05:00:00+00:00,23.4,60.3,6.8,383.0,110.0
2026-03-01 06:00:00+00:00,20.3,53.4,1.9,266.0,135.0
2026-03-01 07:00:00+00:00,18.3,54.2,0.4,219.0,142.0
2026-03-01 08:00:00+00:00,18.5,62.4,0.6,208.0,140.0
2026-03-01 09:00:00+00:00,18.7,68.9,1.1,206.0,136.0
2026-03-01 10:00:00+00:00,19.0,72.6,0.7,204.0,135.0
2026-03-01 11:00:00+00:00,19.0,72.6,0.7,211.0,133.0
2026-03-01 12:00:00+00:00,15.6,56.5,4.2,227.0,121.0
2026-03-01 13:00:00+00:00,19.0,54.6,11.8,253.0,103.0
2026-03-01 14:00:00+00:00,24.2,57.7,22.4,288.0,77.0
2026-03-01 15:00:00+00:00,28.0,57.3,31.1,328.0,56.0
2026-03-01 16:00:00+00:00,31.0,55.8,36.6,383.0,42.0
2026-03-01 17:00:00+00:00,34.3,56.8,40.3,441.0,33.0
2026-03-01 18:00:00+00:00,36.8,61.9,40.9,468.0,28.0
2026-03-01 19:00:00+00:00,36.2,76.6,36.7,432.0,31.0
2026-03-01 20:00:00+00:00,36.0,102.4,29.4,364.0,38.0
2026-03-01 21:00:00+00:00,36.2,120.6,23.4,318.0,44.0
2026-03-01 22:00:00+00:00,37.5,139.2,20.2,311.0,45.0
2026-03-01 23:00:00+00:00,39.1,153.7,18.4,325.0,44.0
2026-03-02 00:00:00+00:00,41.6,181.1,14.5,365.0,62.0
2026-03-02 01:00:00+00:00,43.3,180.2,17.2,463.0,60.0
2026-03-02 02:00:00+00:00,46.3,177.9,20.6,586.0,58.0
2026-03-02 03:00:00+00:00,45.5,137.4,21.2,638.0,64.0
2026-03-02 04:00:00+00:00,39.0,116.9,16.3,549.0,87.0
2026-03-02 05:00:00+00:00,31.0,97.8,8.5,389.0,119.0
2026-03-02 06:00:00+00:00,24.2,74.7,2.7,266.0,141.0
2026-03-02 07:00:00+00:00,21.7,69.6,0.8,228.0,145.0
2026-03-02 08:00:00+00:00,22.1,79.2,0.7,229.0,140.0
2026-03-02 09:00:00+00:00,22.7,88.0,1.1,233.0,135.0
2026-03-02 10:00:00+00:00,22.9,92.0,0.9,227.0,133.0
2026-03-02 11:00:00+00:00,22.8,92.2,1.1,226.0,131.0
2026-03-02 12:00:00+00:00,18.0,74.5,3.7,239.0,122.0
2026-03-02 13:00:00+00:00,20.1,68.7,9.3,281.0,106.0
2026-03-02 14:00:00+00:00,23.6,68.2,17.1,338.0,82.0
2026-03-02 15:00:00+00:00,25.8,65.9,23.3,376.0,63.0
2026-03-02 16:00:00+00:00,27.7,61.0,27.1,378.0,50.0
2026-03-02 17:00:00+00:00,29.4,55.5,29.3,362.0,40.0
2026-03-02 18:00:00+00:00,30.2,59.3,29.2,345.0,36.0
2026-03-02 19:00:00+00:00,31.4,88.7,25.2,335.0,41.0
2026-03-02 20:00:00+00:00,35.9,130.4,18.8,325.0,51.0
2026-03-02 21:00:00+00:00,39.8,161.1,13.8,314.0,58.0
2026-03-02 22:00:00+00:00,42.8,179.3,11.4,292.0,60.0
2026-03-02 23:00:00+00:00,45.1,189.1,10.3,268.0,59.0
2026-03-03 00:00:00+00:00,46.7,190.0,10.7,276.0,57.0
2026-03-03 01:00:00+00:00,48.0,183.0,14.1,354.0,49.0
2026-03-03 02:00:00+00:00,50.9,170.4,18.9,464.0,41.0
2026-03-03 03:00:00+00:00,49.6,112.2,20.6,515.0,45.0
2026-03-03 04:00:00+00:00,44.5,102.9,16.0,449.0,76.0
2026-03-03 05:00:00+00:00,37.1,93.8,8.2,325.0,121.0
2026-03-03 06:00:00+00:00,31.5,88.5,2.4,233.0,153.0
