Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-03-29 11:00:00,30.4,37.0,11.1,1006.4,
2026-03-29 12:00:00,30.2,37.0,11.1,1005.9,
2026-03-29 13:00:00,28.9,41.0,11.1,1006.4,
2026-03-29 14:00:00,27.7,46.0,9.3,1006.9,
2026-03-29 15:00:00,26.5,51.0,7.4,1007.4,
2026-03-29 16:00:00,26.0,53.0,7.4,1007.9,
2026-03-29 17:00:00,25.5,55.0,7.4,1008.3,
2026-03-29 18:00:00,25.0,56.0,5.5,1008.8,
2026-03-29 19:00:00,24.4,59.0,5.5,1008.6,
2026-03-29 20:00:00,23.8,62.0,5.5,1008.5,
2026-03-29 21:00:00,23.2,65.0,5.5,1008.3,
2026-03-29 22:00:00,22.8,67.0,5.5,1008.2,
2026-03-29 23:00:00,22.5,68.0,5.5,1008.1,
2026-03-30 00:00:00,22.1,70.0,5.5,1008.0,
