Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,81.0,95.7,41.6,454.0,18.0
2026-02-27 01:00:00+00:00,83.1,97.3,45.7,480.0,24.0
2026-02-27 02:00:00+00:00,83.6,93.8,50.9,503.0,33.0
2026-02-27 03:00:00+00:00,68.2,78.7,50.8,498.0,50.0
2026-02-27 04:00:00+00:00,52.9,66.8,40.3,443.0,83.0
2026-02-27 05:00:00+00:00,38.3,54.7,24.6,362.0,125.0
2026-02-27 06:00:00+00:00,33.1,51.7,12.4,300.0,156.0
2026-02-27 07:00:00+00:00,30.3,47.6,7.1,281.0,169.0
2026-02-27 08:00:00+00:00,28.6,45.2,5.2,281.0,171.0
2026-02-27 09:00:00+00:00,27.0,43.2,5.8,280.0,167.0
2026-02-27 10:00:00+00:00,25.4,41.3,9.1,266.0,156.0
2026-02-27 11:00:00+00:00,24.6,39.2,14.8,249.0,139.0
2026-02-27 12:00:00+00:00,19.6,24.8,17.3,244.0,122.0
2026-02-27 13:00:00+00:00,26.2,32.1,21.7,257.0,110.0
2026-02-27 14:00:00+00:00,30.3,37.3,27.9,281.0,92.0
2026-02-27 15:00:00+00:00,34.1,42.6,33.3,304.0,77.0
2026-02-27 16:00:00+00:00,38.6,49.5,37.3,324.0,66.0
2026-02-27 17:00:00+00:00,43.4,56.1,40.5,342.0,57.0
2026-02-27 18:00:00+00:00,46.7,60.8,42.2,354.0,50.0
2026-02-27 19:00:00+00:00,48.8,64.0,41.2,352.0,46.0
2026-02-27 20:00:00+00:00,51.5,67.8,38.6,343.0,44.0
2026-02-27 21:00:00+00:00,54.2,71.2,37.2,345.0,41.0
2026-02-27 22:00:00+00:00,57.7,75.2,38.5,369.0,34.0
2026-02-27 23:00:00+00:00,64.5,82.0,40.9,405.0,26.0
2026-02-28 00:00:00+00:00,50.6,67.8,36.3,439.0,41.0
2026-02-28 01:00:00+00:00,61.2,78.2,38.8,471.0,40.0
2026-02-28 02:00:00+00:00,64.5,75.9,41.8,501.0,40.0
2026-02-28 03:00:00+00:00,57.7,67.5,41.7,519.0,48.0
2026-02-28 04:00:00+00:00,47.0,60.3,35.6,525.0,70.0
2026-02-28 05:00:00+00:00,31.1,43.0,26.3,519.0,99.0
2026-02-28 06:00:00+00:00,22.7,34.3,18.1,488.0,123.0
2026-02-28 07:00:00+00:00,21.1,32.2,11.9,409.0,136.0
2026-02-28 08:00:00+00:00,18.9,29.3,6.8,305.0,144.0
2026-02-28 09:00:00+00:00,16.6,27.0,5.0,229.0,144.0
2026-02-28 10:00:00+00:00,15.2,25.4,7.5,203.0,135.0
2026-02-28 11:00:00+00:00,15.7,24.6,13.2,205.0,120.0
2026-02-28 12:00:00+00:00,19.2,25.6,18.4,227.0,105.0
2026-02-28 13:00:00+00:00,30.7,37.7,30.3,277.0,88.0
2026-02-28 14:00:00+00:00,44.8,52.6,46.6,346.0,63.0
2026-02-28 15:00:00+00:00,58.1,66.4,58.5,397.0,44.0
2026-02-28 16:00:00+00:00,70.1,78.9,61.6,415.0,35.0
2026-02-28 17:00:00+00:00,77.5,87.1,60.3,414.0,30.0
2026-02-28 18:00:00+00:00,80.6,90.6,58.9,402.0,26.0
2026-02-28 19:00:00+00:00,82.9,93.1,59.3,372.0,21.0
2026-02-28 20:00:00+00:00,89.2,99.0,59.6,330.0,16.0
2026-02-28 21:00:00+00:00,93.4,102.7,58.1,309.0,13.0
2026-02-28 22:00:00+00:00,93.1,102.4,53.4,327.0,12.0
2026-02-28 23:00:00+00:00,85.4,94.5,46.9,366.0,12.0
2026-03-01 00:00:00+00:00,100.4,111.5,47.3,398.0,9.0
2026-03-01 01:00:00+00:00,88.2,98.7,44.8,419.0,23.0
2026-03-01 02:00:00+00:00,77.3,85.4,41.1,434.0,43.0
2026-03-01 03:00:00+00:00,67.3,75.0,36.6,430.0,65.0
2026-03-01 04:00:00+00:00,58.2,71.2,30.8,393.0,91.0
2026-03-01 05:00:00+00:00,48.4,65.7,24.3,337.0,119.0
2026-03-01 06:00:00+00:00,46.2,60.5,18.7,289.0,140.0
2026-03-01 07:00:00+00:00,43.9,55.2,14.0,257.0,149.0
2026-03-01 08:00:00+00:00,39.5,48.4,10.2,232.0,149.0
2026-03-01 09:00:00+00:00,36.6,43.8,9.4,216.0,145.0
2026-03-01 10:00:00+00:00,33.9,40.0,13.3,208.0,135.0
