Datetime,PM2_5,PM10,NO2,CO,O3
2026-05-05 00:00:00+00:00,13.0,18.9,8.0,207.0,59.0
2026-05-05 01:00:00+00:00,12.5,18.5,9.3,227.0,59.0
2026-05-05 02:00:00+00:00,11.9,17.7,11.0,256.0,58.0
2026-05-05 03:00:00+00:00,11.7,16.2,11.8,272.0,59.0
2026-05-05 04:00:00+00:00,8.8,11.6,10.7,262.0,61.0
2026-05-05 05:00:00+00:00,8.7,10.5,8.6,239.0,64.0
2026-05-05 06:00:00+00:00,7.7,9.7,6.9,219.0,67.0
2026-05-05 07:00:00+00:00,7.8,10.2,6.2,208.0,72.0
2026-05-05 08:00:00+00:00,7.5,10.1,6.0,200.0,77.0
2026-05-05 09:00:00+00:00,7.9,11.0,6.1,190.0,81.0
2026-05-05 10:00:00+00:00,8.6,12.3,6.1,176.0,83.0
2026-05-05 11:00:00+00:00,9.6,14.4,6.5,161.0,83.0
2026-05-05 12:00:00+00:00,15.4,29.4,9.2,148.0,79.0
2026-05-05 13:00:00+00:00,19.4,31.7,11.8,138.0,72.0
2026-05-05 14:00:00+00:00,22.1,33.8,15.5,130.0,61.0
2026-05-05 15:00:00+00:00,22.2,33.1,18.9,126.0,51.0
2026-05-05 16:00:00+00:00,26.0,36.0,22.3,126.0,40.0
2026-05-05 17:00:00+00:00,30.0,38.6,25.5,130.0,29.0
2026-05-05 18:00:00+00:00,30.9,40.5,26.6,133.0,24.0
2026-05-05 19:00:00+00:00,32.2,41.4,24.2,132.0,28.0
2026-05-05 20:00:00+00:00,26.4,37.0,19.8,130.0,38.0
2026-05-05 21:00:00+00:00,22.5,34.2,16.1,132.0,46.0
2026-05-05 22:00:00+00:00,20.1,32.2,14.2,144.0,48.0
2026-05-05 23:00:00+00:00,19.0,30.9,13.1,160.0,48.0
2026-05-06 00:00:00+00:00,16.2,24.8,13.0,172.0,38.0
2026-05-06 01:00:00+00:00,17.9,27.5,11.7,177.0,47.0
2026-05-06 02:00:00+00:00,19.7,30.5,9.8,178.0,59.0
2026-05-06 03:00:00+00:00,19.4,32.1,7.9,175.0,71.0
2026-05-06 04:00:00+00:00,17.0,30.4,5.9,167.0,83.0
2026-05-06 05:00:00+00:00,17.8,32.6,3.9,156.0,95.0
2026-05-06 06:00:00+00:00,18.2,34.9,2.4,148.0,105.0
2026-05-06 07:00:00+00:00,19.2,37.3,1.7,146.0,113.0
2026-05-06 08:00:00+00:00,19.4,37.5,1.7,147.0,120.0
2026-05-06 09:00:00+00:00,19.6,37.8,2.1,150.0,121.0
2026-05-06 10:00:00+00:00,19.2,36.0,1.9,150.0,117.0
2026-05-06 11:00:00+00:00,19.7,36.4,2.2,152.0,108.0
2026-05-06 12:00:00+00:00,24.0,45.2,6.9,165.0,92.0
2026-05-06 13:00:00+00:00,27.0,44.8,10.9,204.0,81.0
2026-05-06 14:00:00+00:00,26.4,38.8,16.2,254.0,66.0
2026-05-06 15:00:00+00:00,24.7,32.7,19.3,284.0,56.0
2026-05-06 16:00:00+00:00,22.3,27.9,17.9,272.0,58.0
2026-05-06 17:00:00+00:00,20.2,25.7,14.2,239.0,65.0
2026-05-06 18:00:00+00:00,18.6,24.3,11.4,215.0,69.0
2026-05-06 19:00:00+00:00,17.7,24.1,10.6,212.0,65.0
2026-05-06 20:00:00+00:00,18.6,24.8,10.6,218.0,58.0
2026-05-06 21:00:00+00:00,19.8,25.6,10.8,225.0,50.0
2026-05-06 22:00:00+00:00,19.5,24.0,11.2,230.0,40.0
2026-05-06 23:00:00+00:00,19.2,23.3,11.9,235.0,31.0
2026-05-07 00:00:00+00:00,19.6,23.6,12.1,243.0,30.0
2026-05-07 01:00:00+00:00,21.8,25.7,11.6,258.0,44.0
2026-05-07 02:00:00+00:00,26.4,30.3,10.7,275.0,68.0
2026-05-07 03:00:00+00:00,23.7,30.7,9.4,285.0,92.0
2026-05-07 04:00:00+00:00,22.2,29.4,7.3,283.0,118.0
2026-05-07 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2026-05-07 05:00:00+00:00,21.5,29.1,4.8,275.0,144.0
