Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-26 18:00:00,24.4,95.0,1.8,1009.8,
2026-02-26 19:00:00,,,,,
2026-02-26 20:00:00,,,,,
2026-02-26 21:00:00,,,,,
2026-02-26 22:00:00,,,,,
2026-02-26 23:00:00,,,,,
2026-02-27 00:00:00,23.3,95.0,4.0,1008.5,
2026-02-27 01:00:00,,,,,
2026-02-27 02:00:00,,,,,
2026-02-27 03:00:00,,,,,
2026-02-27 04:00:00,,,,,
2026-02-27 05:00:00,,,,,
2026-02-27 06:00:00,30.6,65.0,2.9,1010.1,
2026-02-27 07:00:00,,,,,
2026-02-27 08:00:00,,,,,
2026-02-27 09:00:00,,,,,
2026-02-27 10:00:00,,,,,
2026-02-27 11:00:00,,,,,
2026-02-27 12:00:00,29.8,65.0,9.4,1005.8,
2026-02-27 13:00:00,,,,,
2026-02-27 14:00:00,,,,,
2026-02-27 15:00:00,,,,,
2026-02-27 16:00:00,,,,,
2026-02-27 17:00:00,,,,,
2026-02-27 18:00:00,24.6,92.0,5.4,1008.3,
2026-02-27 19:00:00,,,,,
2026-02-27 20:00:00,,,,,
2026-02-27 21:00:00,,,,,
2026-02-27 22:00:00,,,,,
2026-02-27 23:00:00,,,,,
2026-02-28 00:00:00,23.3,94.0,5.8,1007.1,
2026-02-28 01:00:00,,,,,
2026-02-28 02:00:00,,,,,
2026-02-28 03:00:00,,,,,
2026-02-28 04:00:00,,,,,
2026-02-28 05:00:00,,,,,
2026-02-28 06:00:00,31.6,54.0,6.8,1009.2,
2026-02-28 07:00:00,,,,,
2026-02-28 08:00:00,,,,,
2026-02-28 09:00:00,,,,,
2026-02-28 10:00:00,,,,,
2026-02-28 11:00:00,,,,,
2026-02-28 12:00:00,30.0,63.0,5.8,1006.5,
2026-02-28 13:00:00,,,,,
2026-02-28 14:00:00,,,,,
2026-02-28 15:00:00,,,,,
2026-02-28 16:00:00,,,,,
2026-02-28 17:00:00,,,,,
2026-02-28 18:00:00,24.9,91.0,2.5,1009.1,
2026-02-28 19:00:00,,,,,
2026-02-28 20:00:00,25.0,89.0,4.0,1008.0,
2026-02-28 21:00:00,25.0,89.0,4.0,1008.0,
2026-02-28 22:00:00,24.0,94.0,4.0,1008.0,0.0
2026-02-28 23:00:00,24.0,94.0,4.0,1008.0,0.0
2026-03-01 00:00:00,24.0,94.0,6.0,1008.0,0.0
2026-03-01 01:00:00,24.0,94.0,4.0,1009.0,0.0
2026-03-01 02:00:00,23.0,96.0,6.1,1010.1,0.0
2026-03-01 03:00:00,28.0,74.0,6.0,1011.0,0.0
2026-03-01 04:00:00,28.0,74.0,3.2,1011.2,0.0
2026-03-01 05:00:00,31.0,59.0,9.0,1010.0,0.0
2026-03-01 06:00:00,32.0,56.0,4.0,1009.0,0.0
2026-03-01 07:00:00,32.7,46.0,8.6,1009.0,0.0
2026-03-01 08:00:00,32.9,45.0,13.0,1007.9,0.0
2026-03-01 09:00:00,32.3,48.0,14.0,1007.2,0.0
2026-03-01 10:00:00,31.8,52.0,15.5,1006.5,0.0
2026-03-01 11:00:00,30.4,59.0,15.8,1006.7,0.2
2026-03-01 12:00:00,29.1,67.0,15.1,1007.4,0.0
2026-03-01 13:00:00,27.7,75.0,9.7,1008.2,0.0
