Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,73.6,76.4,12.1,660.0,52.0
2026-02-27 01:00:00+00:00,75.4,77.8,12.2,766.0,61.0
2026-02-27 02:00:00+00:00,75.0,76.8,12.1,892.0,74.0
2026-02-27 03:00:00+00:00,69.2,71.2,11.2,933.0,91.0
2026-02-27 04:00:00+00:00,62.2,65.0,8.6,810.0,116.0
2026-02-27 05:00:00+00:00,59.8,63.3,5.0,604.0,145.0
2026-02-27 06:00:00+00:00,50.5,56.0,2.5,452.0,166.0
2026-02-27 07:00:00+00:00,37.5,44.6,1.2,410.0,173.0
2026-02-27 08:00:00+00:00,32.5,40.3,0.9,424.0,172.0
2026-02-27 09:00:00+00:00,31.7,40.0,2.6,466.0,167.0
2026-02-27 10:00:00+00:00,32.9,42.0,7.2,517.0,160.0
2026-02-27 11:00:00+00:00,38.4,46.1,13.9,598.0,148.0
2026-02-27 12:00:00+00:00,59.6,69.4,22.6,737.0,135.0
2026-02-27 13:00:00+00:00,77.3,87.8,30.5,1025.0,116.0
2026-02-27 14:00:00+00:00,94.8,105.2,41.1,1372.0,89.0
2026-02-27 15:00:00+00:00,102.0,112.0,47.0,1543.0,68.0
2026-02-27 16:00:00+00:00,101.5,110.1,43.8,1381.0,58.0
2026-02-27 17:00:00+00:00,95.5,102.4,35.9,1043.0,53.0
2026-02-27 18:00:00+00:00,85.4,91.0,29.6,764.0,49.0
2026-02-27 19:00:00+00:00,79.4,84.1,27.0,629.0,45.0
2026-02-27 20:00:00+00:00,79.2,83.4,25.9,554.0,42.0
2026-02-27 21:00:00+00:00,82.0,85.9,25.7,522.0,39.0
2026-02-27 22:00:00+00:00,85.9,89.9,27.2,534.0,32.0
2026-02-27 23:00:00+00:00,88.5,92.4,29.5,590.0,25.0
2026-02-28 00:00:00+00:00,48.5,50.2,16.0,673.0,47.0
2026-02-28 01:00:00+00:00,53.7,55.2,15.0,829.0,59.0
2026-02-28 02:00:00+00:00,49.4,50.5,13.6,1012.0,77.0
2026-02-28 03:00:00+00:00,37.0,38.3,11.6,1071.0,96.0
2026-02-28 04:00:00+00:00,24.7,26.8,8.6,888.0,117.0
2026-02-28 05:00:00+00:00,23.5,39.1,5.0,580.0,140.0
2026-02-28 06:00:00+00:00,22.7,45.4,2.5,345.0,155.0
2026-02-28 07:00:00+00:00,21.7,42.3,1.1,263.0,159.0
2026-02-28 08:00:00+00:00,21.8,39.6,0.7,253.0,156.0
2026-02-28 09:00:00+00:00,22.4,38.2,2.3,270.0,150.0
2026-02-28 10:00:00+00:00,23.3,37.6,7.9,314.0,141.0
2026-02-28 11:00:00+00:00,28.8,39.6,15.5,385.0,128.0
2026-02-28 12:00:00+00:00,45.6,60.1,24.1,442.0,122.0
2026-02-28 13:00:00+00:00,57.7,70.8,21.8,471.0,108.0
2026-02-28 14:00:00+00:00,50.2,58.4,18.6,487.0,88.0
2026-02-28 15:00:00+00:00,35.5,40.0,15.4,489.0,74.0
2026-02-28 16:00:00+00:00,26.5,29.0,12.4,475.0,70.0
2026-02-28 17:00:00+00:00,22.2,24.7,9.4,447.0,71.0
2026-02-28 18:00:00+00:00,19.0,21.7,7.3,419.0,73.0
2026-02-28 19:00:00+00:00,18.0,20.7,6.5,389.0,74.0
2026-02-28 20:00:00+00:00,18.3,20.9,6.5,358.0,75.0
2026-02-28 21:00:00+00:00,19.5,21.8,6.7,342.0,75.0
2026-02-28 22:00:00+00:00,21.1,23.2,7.2,342.0,73.0
2026-02-28 23:00:00+00:00,22.6,24.6,7.9,357.0,69.0
2026-03-01 00:00:00+00:00,26.8,28.5,8.0,396.0,71.0
2026-03-01 01:00:00+00:00,30.6,32.5,7.7,487.0,77.0
2026-03-01 02:00:00+00:00,31.4,33.5,7.1,603.0,86.0
2026-03-01 03:00:00+00:00,32.5,34.6,6.4,668.0,98.0
2026-03-01 04:00:00+00:00,35.3,37.1,5.2,638.0,115.0
2026-03-01 05:00:00+00:00,38.1,39.9,3.8,558.0,136.0
2026-03-01 06:00:00+00:00,40.4,42.3,2.8,482.0,151.0
2026-03-01 07:00:00+00:00,41.9,43.9,2.0,419.0,160.0
2026-03-01 08:00:00+00:00,41.8,44.2,1.5,361.0,164.0
2026-03-01 09:00:00+00:00,42.3,44.8,2.6,340.0,161.0
2026-03-01 10:00:00+00:00,43.2,45.4,7.0,385.0,148.0
