Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-21 10:00:00,29.8,39.0,3.7,1010.2,
2026-02-21 11:00:00,29.1,42.0,3.7,1010.0,
2026-02-21 12:00:00,29.5,31.0,7.2,1008.5,
2026-02-21 13:00:00,26.9,50.0,1.8,1010.2,
2026-02-21 14:00:00,25.5,56.0,1.8,1010.8,
2026-02-21 15:00:00,24.1,62.0,1.8,1011.3,
2026-02-21 16:00:00,23.5,66.0,1.8,1011.3,
2026-02-21 17:00:00,23.0,69.0,1.8,1011.3,
2026-02-21 18:00:00,23.0,56.0,1.4,1010.2,
2026-02-21 19:00:00,22.3,74.0,0.0,1011.0,
2026-02-21 20:00:00,22.1,76.0,0.0,1010.6,
2026-02-21 21:00:00,22.0,77.0,0.0,1010.2,
2026-02-21 22:00:00,21.7,77.0,0.0,1010.4,
2026-02-21 23:00:00,21.4,78.0,0.0,1010.5,
2026-02-22 00:00:00,19.6,71.0,3.2,1009.5,
2026-02-22 01:00:00,22.4,72.0,0.0,1011.3,
2026-02-22 02:00:00,23.6,67.0,1.8,1012.0,
2026-02-22 03:00:00,24.8,62.0,1.8,1012.6,
2026-02-22 04:00:00,26.3,56.0,1.8,1012.3,
2026-02-22 05:00:00,27.8,50.0,3.7,1011.9,
2026-02-22 06:00:00,32.0,26.0,5.4,1010.0,
2026-02-22 07:00:00,29.9,42.0,3.7,1010.4,
2026-02-22 08:00:00,30.4,40.0,3.7,1009.3,
2026-02-22 09:00:00,31.0,38.0,3.7,1008.2,
2026-02-22 10:00:00,30.2,40.0,3.7,1008.0,
2026-02-22 11:00:00,29.4,43.0,1.8,1007.8,
2026-02-22 12:00:00,30.2,28.0,7.9,1005.8,
2026-02-22 13:00:00,27.3,51.0,1.8,1008.2,
2026-02-22 14:00:00,26.0,57.0,1.8,1008.7,
2026-02-22 15:00:00,24.7,63.0,1.8,1009.3,
2026-02-22 16:00:00,24.1,66.0,1.8,1009.3,
2026-02-22 17:00:00,23.5,70.0,1.8,1009.4,
2026-02-22 18:00:00,22.5,69.0,6.8,1008.5,
2026-02-22 19:00:00,22.6,76.0,1.8,1009.2,
2026-02-22 20:00:00,22.3,78.0,1.8,1009.0,
2026-02-22 21:00:00,22.0,80.0,1.8,1008.8,
2026-02-22 22:00:00,21.7,81.0,1.8,1008.9,
2026-02-22 23:00:00,21.4,83.0,0.0,1009.1,
2026-02-23 00:00:00,19.5,94.0,3.6,1008.6,
2026-02-23 01:00:00,22.2,79.0,0.0,1010.1,
2026-02-23 02:00:00,23.3,73.0,1.8,1010.8,
2026-02-23 03:00:00,24.4,68.0,1.8,1011.6,
2026-02-23 04:00:00,26.0,61.0,1.8,1011.4,
2026-02-23 05:00:00,27.6,54.0,3.7,1011.2,
2026-02-23 06:00:00,32.2,31.0,4.7,1009.2,
2026-02-23 07:00:00,29.7,46.0,3.7,1009.9,
2026-02-23 08:00:00,30.3,43.0,3.7,1008.8,
2026-02-23 09:00:00,30.8,41.0,3.7,1007.8,
2026-02-23 10:00:00,30.1,43.0,3.7,1007.6,
2026-02-23 11:00:00,29.4,46.0,3.7,1007.5,
2026-02-23 12:00:00,31.0,31.0,10.4,1005.6,
2026-02-23 13:00:00,27.5,52.0,1.8,1008.0,
2026-02-23 14:00:00,26.3,58.0,1.8,1008.7,
2026-02-23 15:00:00,25.2,63.0,1.8,1009.3,
2026-02-23 16:00:00,24.7,66.0,1.8,1009.5,
2026-02-23 17:00:00,24.2,69.0,1.8,1009.6,
2026-02-23 18:00:00,23.1,82.0,8.6,1008.5,
2026-02-23 19:00:00,23.4,74.0,1.8,1009.5,
2026-02-23 20:00:00,23.1,76.0,1.8,1009.2,
2026-02-23 21:00:00,22.8,78.0,0.0,1008.9,
2026-02-23 22:00:00,22.5,80.0,0.0,1009.2,
2026-02-23 23:00:00,22.2,81.0,0.0,1009.5,
2026-02-24 00:00:00,20.9,97.0,2.9,1008.5,
2026-02-24 01:00:00,22.9,78.0,1.8,1010.5,
2026-02-24 02:00:00,23.8,74.0,1.8,1011.3,
2026-02-24 03:00:00,24.7,70.0,1.8,1012.1,
2026-02-24 04:00:00,26.3,62.0,1.8,1011.9,
2026-02-24 05:00:00,27.8,56.0,1.8,1011.7,
2026-02-24 06:00:00,31.9,42.0,1.4,1010.0,
2026-02-24 07:00:00,30.0,47.0,3.7,1010.6,
2026-02-24 08:00:00,30.6,44.0,3.7,1009.7,
2026-02-24 09:00:00,31.2,42.0,3.7,1008.8,
