Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-18 04:15:00+00:00,21.2,50.33,8.347,0.263,28.21
2026-02-18 06:15:00+00:00,28.45,67.2,6.166,0.137,28.18
2026-02-18 08:00:00+00:00,29.7,70.4,7.971,0.275,28.67
2026-02-18 10:15:00+00:00,35.51,84.16,7.294,0.218,28.18
2026-02-18 12:15:00+00:00,38.07,90.24,7.896,0.263,28.46
2026-02-18 14:00:00+00:00,35.91,85.12,8.272,0.275,28.76
2026-02-18 16:15:00+00:00,23.62,55.82,8.366,0.275,28.09
2026-02-19 08:00:00+00:00,67.5,160.0,8.986,0.309,28.05
2026-02-19 10:00:00+00:00,66.69,158.08,8.516,0.263,28.18
2026-02-19 12:15:00+00:00,61.87,147.2,8.234,0.275,28.67
2026-02-19 14:15:00+00:00,58.97,139.79,9.268,0.343,28.25
2026-02-19 16:15:00+00:00,68.86,163.23,9.569,0.355,28.29
2026-02-19 18:00:00+00:00,107.73,255.36,11.242,0.447,28.42
2026-02-19 18:15:00+00:00,100.71,237.98,11.336,0.447,28.16
2026-02-19 20:15:00+00:00,88.51,209.92,12.145,0.492,28.01
2026-02-19 22:15:00+00:00,63.99,151.68,10.19,0.378,28.67
2026-02-20 00:15:00+00:00,119.74,283.84,18.255,0.87,28.82
2026-02-20 02:15:00+00:00,69.56,164.8,15.66,0.71,29.04
2026-02-20 04:15:00+00:00,73.84,174.85,12.22,0.492,29.14
2026-02-20 06:15:00+00:00,68.98,163.52,14.589,0.641,28.05
2026-02-20 08:15:00+00:00,82.08,194.9,11.731,0.481,28.17
2026-02-20 10:15:00+00:00,84.92,201.28,13.085,0.561,28.1
2026-02-21 04:15:00+00:00,61.28,145.28,10.133,0.378,28.26
2026-02-21 06:15:00+00:00,54.4,128.96,20.981,1.065,28.62
2026-02-21 07:00:00+00:00,49.95,118.4,13.686,0.584,28.28
2026-02-24 02:15:00+00:00,56.84,135.01,12.126,0.504,28.0
2026-02-24 04:00:00+00:00,63.99,151.68,11.6,0.469,28.16
2026-02-24 06:00:00+00:00,57.78,136.96,11.524,0.504,28.46
