Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-03-29 11:00:00,31.4,59.0,11.1,1008.0,
2026-03-29 12:00:00,31.0,60.0,11.1,1007.6,
2026-03-29 13:00:00,30.1,63.0,9.3,1008.1,
2026-03-29 14:00:00,29.2,66.0,7.4,1008.6,
2026-03-29 15:00:00,28.3,70.0,5.5,1009.1,
2026-03-29 16:00:00,27.7,73.0,5.5,1009.4,
2026-03-29 17:00:00,27.1,75.0,5.5,1009.8,
2026-03-29 18:00:00,26.5,78.0,3.7,1010.1,
2026-03-29 19:00:00,26.5,78.0,3.7,1009.6,
2026-03-29 20:00:00,26.5,78.0,1.8,1009.2,
2026-03-29 21:00:00,26.5,78.0,1.8,1008.7,
2026-03-29 22:00:00,25.9,80.0,1.8,1008.6,
2026-03-29 23:00:00,25.4,82.0,1.8,1008.6,
2026-03-30 00:00:00,24.9,84.0,0.0,1008.5,
