Datetime,PM2_5,PM10,NO2,CO,O3
2026-05-05 00:00:00+00:00,51.8,51.8,14.1,431.0,83.0
2026-05-05 01:00:00+00:00,49.4,50.3,12.3,419.0,95.0
2026-05-05 02:00:00+00:00,43.2,45.2,9.8,397.0,112.0
2026-05-05 03:00:00+00:00,39.5,41.0,7.5,380.0,131.0
2026-05-05 04:00:00+00:00,41.4,43.8,5.6,376.0,154.0
2026-05-05 05:00:00+00:00,44.1,50.1,3.9,376.0,179.0
2026-05-05 06:00:00+00:00,46.1,55.3,2.7,372.0,198.0
2026-05-05 07:00:00+00:00,47.1,62.4,2.2,353.0,205.0
2026-05-05 08:00:00+00:00,47.3,66.4,2.2,329.0,206.0
2026-05-05 09:00:00+00:00,47.8,71.5,2.7,324.0,204.0
2026-05-05 10:00:00+00:00,46.6,70.1,2.6,345.0,204.0
2026-05-05 11:00:00+00:00,47.1,70.3,3.0,384.0,201.0
2026-05-05 12:00:00+00:00,34.1,51.8,6.1,443.0,169.0
2026-05-05 13:00:00+00:00,40.2,56.0,16.4,537.0,147.0
2026-05-05 14:00:00+00:00,49.6,65.4,30.7,649.0,117.0
2026-05-05 15:00:00+00:00,62.9,78.0,41.6,736.0,92.0
2026-05-05 16:00:00+00:00,70.1,84.3,45.8,776.0,77.0
2026-05-05 17:00:00+00:00,71.2,84.1,46.6,789.0,66.0
2026-05-05 18:00:00+00:00,71.2,84.3,46.4,792.0,58.0
2026-05-05 19:00:00+00:00,76.6,90.3,46.9,797.0,50.0
2026-05-05 20:00:00+00:00,78.5,92.0,46.4,790.0,45.0
2026-05-05 21:00:00+00:00,74.0,87.1,42.9,749.0,48.0
2026-05-05 22:00:00+00:00,59.3,71.9,33.6,641.0,65.0
2026-05-05 23:00:00+00:00,49.2,64.7,21.2,497.0,90.0
2026-05-06 00:00:00+00:00,44.4,51.9,21.5,392.0,77.0
2026-05-06 01:00:00+00:00,43.4,51.9,17.5,363.0,99.0
2026-05-06 02:00:00+00:00,39.0,50.9,12.0,372.0,129.0
2026-05-06 03:00:00+00:00,33.9,48.0,7.5,379.0,155.0
2026-05-06 04:00:00+00:00,32.7,49.4,4.9,371.0,172.0
2026-05-06 05:00:00+00:00,33.5,51.7,3.2,362.0,184.0
2026-05-06 06:00:00+00:00,32.6,51.9,2.2,352.0,190.0
2026-05-06 07:00:00+00:00,31.2,52.3,1.8,336.0,188.0
2026-05-06 08:00:00+00:00,31.2,52.4,2.1,320.0,180.0
2026-05-06 09:00:00+00:00,32.9,54.2,2.6,315.0,174.0
2026-05-06 10:00:00+00:00,34.1,55.4,2.4,334.0,174.0
2026-05-06 11:00:00+00:00,34.5,56.2,2.5,365.0,176.0
2026-05-06 12:00:00+00:00,31.1,53.6,6.1,387.0,148.0
2026-05-06 13:00:00+00:00,34.5,49.6,6.9,387.0,143.0
2026-05-06 14:00:00+00:00,32.1,43.9,8.2,378.0,136.0
2026-05-06 15:00:00+00:00,31.7,43.1,9.6,374.0,128.0
2026-05-06 16:00:00+00:00,33.5,44.0,11.2,384.0,119.0
2026-05-06 17:00:00+00:00,36.0,45.9,13.0,399.0,110.0
2026-05-06 18:00:00+00:00,37.3,47.4,14.9,409.0,100.0
2026-05-06 19:00:00+00:00,39.1,48.4,17.1,407.0,89.0
2026-05-06 20:00:00+00:00,42.0,51.1,19.3,400.0,79.0
2026-05-06 21:00:00+00:00,44.9,53.2,20.7,398.0,71.0
2026-05-06 22:00:00+00:00,47.3,54.9,21.1,407.0,66.0
2026-05-06 23:00:00+00:00,48.8,55.9,20.6,420.0,64.0
2026-05-07 00:00:00+00:00,46.8,53.3,19.0,431.0,71.0
2026-05-07 01:00:00+00:00,39.5,45.5,15.6,437.0,94.0
2026-05-07 02:00:00+00:00,34.1,39.6,11.1,441.0,126.0
2026-05-07 03:00:00+00:00,32.0,38.6,7.3,436.0,153.0
2026-05-07 04:00:00+00:00,35.7,45.2,4.9,417.0,171.0
2026-05-07 04:15:00+00:00,13.5,20.8,43.259,1.197,36.62
2026-05-07 05:00:00+00:00,37.3,50.8,3.2,390.0,185.0
