Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-02-20 18:00:00,19.3,72.0,8.6,1014.4,
2026-02-20 19:00:00,,,,,
2026-02-20 20:00:00,,,,,
2026-02-20 21:00:00,,,,,
2026-02-20 22:00:00,,,,,
2026-02-20 23:00:00,,,,,
2026-02-21 00:00:00,16.7,76.0,8.6,1012.9,
2026-02-21 01:00:00,,,,,
2026-02-21 02:00:00,,,,,
2026-02-21 03:00:00,,,,,
2026-02-21 04:00:00,,,,,
2026-02-21 05:00:00,,,,,
2026-02-21 06:00:00,27.3,41.0,8.6,1013.5,
2026-02-21 07:00:00,,,,,
2026-02-21 08:00:00,,,,,
2026-02-21 09:00:00,,,,,
2026-02-21 10:00:00,,,,,
2026-02-21 11:00:00,,,,,
2026-02-21 12:00:00,25.8,46.0,8.3,1009.1,
2026-02-21 13:00:00,,,,,
2026-02-21 14:00:00,,,,,
2026-02-21 15:00:00,,,,,
2026-02-21 16:00:00,,,,,
2026-02-21 17:00:00,,,,,
2026-02-21 18:00:00,19.5,65.0,9.4,1010.1,
2026-02-21 19:00:00,,,,,
2026-02-21 20:00:00,,,,,
2026-02-21 21:00:00,,,,,
2026-02-21 22:00:00,,,,,
2026-02-21 23:00:00,,,,,
2026-02-22 00:00:00,15.6,72.0,7.9,1009.6,
2026-02-22 01:00:00,,,,,
2026-02-22 02:00:00,,,,,
2026-02-22 03:00:00,,,,,
2026-02-22 04:00:00,,,,,
2026-02-22 05:00:00,,,,,
2026-02-22 06:00:00,27.6,33.0,8.6,1010.9,
2026-02-22 07:00:00,,,,,
2026-02-22 08:00:00,,,,,
2026-02-22 09:00:00,,,,,
2026-02-22 10:00:00,,,,,
2026-02-22 11:00:00,,,,,
2026-02-22 12:00:00,25.4,41.0,8.3,1006.2,
2026-02-22 13:00:00,,,,,
2026-02-22 14:00:00,,,,,
2026-02-22 15:00:00,,,,,
2026-02-22 16:00:00,,,,,
2026-02-22 17:00:00,,,,,
2026-02-22 18:00:00,18.7,66.0,6.8,1008.2,
2026-02-22 19:00:00,,,,,
2026-02-22 20:00:00,,,,,
2026-02-22 21:00:00,,,,,
2026-02-22 22:00:00,,,,,
2026-02-22 23:00:00,,,,,
2026-02-23 00:00:00,14.7,79.0,6.5,1008.5,
2026-02-23 01:00:00,,,,,
2026-02-23 02:00:00,,,,,
2026-02-23 03:00:00,,,,,
2026-02-23 04:00:00,,,,,
2026-02-23 05:00:00,,,,,
2026-02-23 06:00:00,28.9,29.0,5.4,1009.7,
2026-02-23 07:00:00,,,,,
2026-02-23 08:00:00,,,,,
2026-02-23 09:00:00,,,,,
2026-02-23 10:00:00,,,,,
2026-02-23 11:00:00,,,,,
2026-02-23 12:00:00,26.8,35.0,7.2,1005.8,
