Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-18 04:15:00+00:00,0.0,13.0,0.132,0.24,36.39
2026-02-18 06:15:00+00:00,4.0,204.0,0.752,0.183,51.51
2026-02-18 08:00:00+00:00,4.0,17.0,0.677,0.218,53.76
2026-02-18 10:15:00+00:00,8.0,63.0,0.752,0.527,36.95
2026-02-18 12:15:00+00:00,17.0,23.0,0.357,0.63,36.48
2026-02-18 14:00:00+00:00,14.0,67.0,0.188,0.401,46.91
2026-02-18 16:00:00+00:00,12.0,29.0,0.545,0.355,46.71
2026-02-19 08:00:00+00:00,4.0,47.0,0.301,0.332,36.98
2026-02-19 10:00:00+00:00,3.0,34.0,0.376,0.458,36.63
2026-02-19 12:15:00+00:00,19.0,34.0,0.301,0.378,39.18
2026-02-19 14:15:00+00:00,8.0,31.0,0.282,0.527,39.67
2026-02-19 16:15:00+00:00,6.0,18.0,0.564,0.424,38.8
2026-02-19 18:00:00+00:00,142.0,11.0,0.677,0.321,52.05
2026-02-19 18:15:00+00:00,142.0,11.0,0.395,0.321,49.8
2026-02-19 20:00:00+00:00,4.0,0.0,0.338,0.183,50.7
2026-02-19 22:00:00+00:00,0.0,18.0,0.32,0.24,51.75
2026-02-20 00:15:00+00:00,4.0,9.88,0.79,0.263,50.79
2026-02-20 02:00:00+00:00,134.0,10.0,0.226,0.492,36.69
2026-02-20 04:00:00+00:00,6.0,6.0,0.32,1.26,30.38
2026-02-20 06:15:00+00:00,5.0,21.0,0.32,0.561,37.92
2026-02-20 08:15:00+00:00,9.0,39.0,0.696,0.424,46.06
2026-02-20 10:15:00+00:00,18.0,30.0,0.677,0.412,44.21
2026-02-20 12:15:00+00:00,13.0,27.0,0.451,0.71,31.94
2026-02-20 14:00:00+00:00,14.0,30.0,0.771,1.076,22.71
2026-02-20 16:15:00+00:00,4.0,22.0,0.564,0.573,37.69
2026-02-20 18:15:00+00:00,7.0,12.2,0.226,0.435,45.48
2026-02-20 20:15:00+00:00,9.0,0.0,0.47,0.343,49.38
2026-02-20 22:00:00+00:00,6.0,9.0,0.338,0.298,46.19
2026-02-21 00:15:00+00:00,3.0,6.0,0.921,0.343,49.95
2026-02-21 02:15:00+00:00,0.0,10.0,0.808,0.481,37.21
2026-02-21 04:00:00+00:00,8.0,15.0,0.639,0.389,34.92
2026-02-21 06:15:00+00:00,4.0,11.0,0.489,0.298,39.08
2026-02-21 08:15:00+00:00,9.0,27.0,0.056,0.252,52.28
2026-02-21 10:15:00+00:00,7.0,1.0,0.677,0.332,39.53
2026-02-21 12:00:00+00:00,19.0,19.0,0.226,0.504,44.89
2026-02-21 14:15:00+00:00,19.0,0.0,0.827,0.515,39.94
2026-02-21 16:15:00+00:00,9.0,44.0,0.301,0.309,49.29
2026-02-21 18:00:00+00:00,94.0,25.0,0.207,0.366,36.96
2026-02-22 00:15:00+00:00,0.0,11.0,0.113,0.115,50.18
2026-02-22 02:00:00+00:00,3.0,26.0,0.188,0.115,50.32
2026-02-22 04:15:00+00:00,0.0,32.0,0.658,0.137,50.38
2026-02-22 06:15:00+00:00,6.0,125.0,0.583,0.16,39.19
2026-02-22 08:15:00+00:00,54.0,40.0,0.338,0.218,38.4
2026-02-22 10:00:00+00:00,6.0,31.0,0.263,0.24,37.31
2026-02-22 12:15:00+00:00,9.0,35.0,0.47,0.309,32.1
2026-02-22 14:00:00+00:00,11.0,30.0,0.357,0.355,30.93
2026-02-22 16:00:00+00:00,5.0,18.0,0.47,0.229,45.34
2026-02-22 18:15:00+00:00,3.0,12.0,0.357,0.183,58.14
2026-02-22 20:00:00+00:00,0.0,0.0,0.451,0.16,65.86
2026-02-22 22:15:00+00:00,1.0,350.6,0.188,0.172,73.58
2026-02-23 00:00:00+00:00,7.0,28.0,0.282,0.16,72.1
2026-02-23 02:00:00+00:00,2.0,94.0,0.113,0.206,67.17
2026-02-23 04:15:00+00:00,6.0,40.0,0.47,0.218,62.67
2026-02-23 06:15:00+00:00,185.0,27.83,0.414,0.252,41.1
2026-02-23 08:15:00+00:00,6.0,32.0,0.301,0.343,35.66
2026-02-23 10:00:00+00:00,1.0,30.0,0.733,0.641,33.37
2026-02-23 12:15:00+00:00,78.0,39.0,0.508,0.664,26.24
2026-02-23 14:00:00+00:00,10.0,36.0,0.32,0.687,25.34
2026-02-23 16:15:00+00:00,4.0,17.0,0.32,0.275,48.22
2026-02-23 18:00:00+00:00,0.0,12.0,0.846,0.286,38.5
2026-02-23 18:15:00+00:00,0.0,12.0,0.921,0.263,44.03
2026-02-23 20:00:00+00:00,0.0,112.0,0.414,0.183,69.6
2026-02-23 22:00:00+00:00,0.0,464.0,0.169,0.195,74.47
2026-02-24 00:15:00+00:00,2.0,24.0,0.47,0.206,69.24
2026-02-24 02:15:00+00:00,2.0,220.0,0.432,0.309,65.22
2026-02-24 04:00:00+00:00,5.0,31.0,0.132,0.481,66.82
2026-02-24 06:00:00+00:00,2.0,13.0,0.207,0.298,59.92
2026-02-24 08:15:00+00:00,4.0,18.0,0.094,0.847,40.0
2026-02-24 10:00:00+00:00,5.0,10.0,0.432,0.836,36.92
