Datetime,PM2_5,PM10,NO2,CO,O3
2026-05-05 00:00:00+00:00,11.8,14.5,5.3,222.0,82.0
2026-05-05 01:00:00+00:00,10.1,12.9,5.4,217.0,81.0
2026-05-05 02:00:00+00:00,8.7,10.8,5.4,205.0,80.0
2026-05-05 03:00:00+00:00,8.4,10.3,5.2,196.0,83.0
2026-05-05 04:00:00+00:00,10.0,12.6,4.4,193.0,92.0
2026-05-05 05:00:00+00:00,11.5,14.9,3.3,193.0,105.0
2026-05-05 06:00:00+00:00,11.6,16.2,2.5,192.0,115.0
2026-05-05 07:00:00+00:00,11.5,17.2,2.1,190.0,121.0
2026-05-05 08:00:00+00:00,11.4,17.5,1.9,189.0,124.0
2026-05-05 09:00:00+00:00,11.7,18.6,2.1,188.0,123.0
2026-05-05 10:00:00+00:00,11.1,17.2,2.8,188.0,115.0
2026-05-05 11:00:00+00:00,10.8,16.8,3.8,189.0,104.0
2026-05-05 12:00:00+00:00,14.8,19.9,4.8,191.0,93.0
2026-05-05 13:00:00+00:00,16.9,21.0,5.8,196.0,83.0
2026-05-05 14:00:00+00:00,17.6,21.1,7.1,202.0,69.0
2026-05-05 15:00:00+00:00,18.5,21.7,7.9,209.0,58.0
2026-05-05 16:00:00+00:00,17.2,19.9,7.4,216.0,54.0
2026-05-05 17:00:00+00:00,15.4,18.0,6.4,224.0,53.0
2026-05-05 18:00:00+00:00,14.3,16.8,6.3,228.0,52.0
2026-05-05 19:00:00+00:00,14.8,17.5,8.2,225.0,48.0
2026-05-05 20:00:00+00:00,18.5,21.5,11.1,218.0,42.0
2026-05-05 21:00:00+00:00,22.5,25.4,12.8,218.0,39.0
2026-05-05 22:00:00+00:00,19.7,22.6,12.1,230.0,37.0
2026-05-05 23:00:00+00:00,19.0,22.0,10.2,248.0,38.0
2026-05-06 00:00:00+00:00,18.2,19.0,11.3,265.0,47.0
2026-05-06 01:00:00+00:00,18.3,19.6,10.4,280.0,68.0
2026-05-06 02:00:00+00:00,19.7,21.7,9.1,293.0,97.0
2026-05-06 03:00:00+00:00,22.9,26.9,8.1,300.0,126.0
2026-05-06 04:00:00+00:00,27.5,34.3,7.7,295.0,151.0
2026-05-06 05:00:00+00:00,31.8,41.2,7.5,282.0,176.0
2026-05-06 06:00:00+00:00,37.4,48.9,7.2,272.0,199.0
2026-05-06 07:00:00+00:00,45.6,59.3,6.3,264.0,223.0
2026-05-06 08:00:00+00:00,52.0,67.5,5.2,259.0,244.0
2026-05-06 09:00:00+00:00,55.2,71.7,4.7,265.0,254.0
2026-05-06 10:00:00+00:00,56.2,73.3,5.5,293.0,248.0
2026-05-06 11:00:00+00:00,54.0,71.2,7.0,333.0,229.0
2026-05-06 12:00:00+00:00,33.3,48.4,10.4,356.0,169.0
2026-05-06 13:00:00+00:00,41.1,54.1,9.2,349.0,150.0
2026-05-06 14:00:00+00:00,36.8,45.4,7.6,326.0,123.0
2026-05-06 15:00:00+00:00,22.3,25.2,6.4,304.0,101.0
2026-05-06 16:00:00+00:00,16.0,16.9,6.0,289.0,88.0
2026-05-06 17:00:00+00:00,14.6,15.4,6.0,276.0,80.0
2026-05-06 18:00:00+00:00,15.3,16.4,6.4,263.0,74.0
2026-05-06 19:00:00+00:00,16.6,18.2,7.3,249.0,69.0
2026-05-06 20:00:00+00:00,18.2,20.0,8.6,234.0,65.0
2026-05-06 21:00:00+00:00,20.4,22.4,9.7,224.0,61.0
2026-05-06 22:00:00+00:00,22.1,24.2,10.9,218.0,53.0
2026-05-06 23:00:00+00:00,22.9,24.7,12.0,216.0,46.0
2026-05-07 00:00:00+00:00,23.7,25.4,12.0,220.0,46.0
2026-05-07 01:00:00+00:00,23.5,25.3,10.1,232.0,60.0
2026-05-07 02:00:00+00:00,17.0,19.6,7.1,249.0,83.0
2026-05-07 03:00:00+00:00,17.1,20.7,4.8,264.0,105.0
2026-05-07 04:00:00+00:00,18.3,23.1,3.8,276.0,127.0
2026-05-07 04:15:00+00:00,0.02,33.9,43.672,1.683,8.2
2026-05-07 05:00:00+00:00,19.4,25.7,3.4,287.0,148.0
