Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,29.2,31.4,5.8,609.0,102.0
2026-02-27 01:00:00+00:00,26.2,28.1,5.3,532.0,104.0
2026-02-27 02:00:00+00:00,22.5,24.1,4.5,451.0,107.0
2026-02-27 03:00:00+00:00,16.1,17.2,3.8,389.0,113.0
2026-02-27 04:00:00+00:00,13.2,13.9,3.1,358.0,123.0
2026-02-27 05:00:00+00:00,13.6,14.3,2.5,346.0,135.0
2026-02-27 06:00:00+00:00,14.3,15.0,2.0,338.0,145.0
2026-02-27 07:00:00+00:00,14.9,15.8,1.7,333.0,153.0
2026-02-27 08:00:00+00:00,15.5,16.4,1.6,333.0,159.0
2026-02-27 09:00:00+00:00,15.8,16.8,1.7,330.0,163.0
2026-02-27 10:00:00+00:00,15.9,17.1,2.0,310.0,165.0
2026-02-27 11:00:00+00:00,16.6,18.0,2.4,287.0,165.0
2026-02-27 12:00:00+00:00,27.8,29.3,3.1,301.0,170.0
2026-02-27 13:00:00+00:00,29.5,30.9,4.0,391.0,165.0
2026-02-27 14:00:00+00:00,32.0,33.1,5.4,517.0,157.0
2026-02-27 15:00:00+00:00,33.9,34.6,6.8,606.0,149.0
2026-02-27 16:00:00+00:00,35.7,36.3,8.3,618.0,141.0
2026-02-27 17:00:00+00:00,37.7,38.3,9.8,593.0,133.0
2026-02-27 18:00:00+00:00,38.9,39.7,11.0,569.0,125.0
2026-02-27 19:00:00+00:00,38.3,39.2,11.9,553.0,117.0
2026-02-27 20:00:00+00:00,39.8,40.7,12.4,539.0,109.0
2026-02-27 21:00:00+00:00,42.1,42.8,12.7,547.0,102.0
2026-02-27 22:00:00+00:00,43.3,44.1,12.7,613.0,96.0
2026-02-27 23:00:00+00:00,46.9,47.6,12.3,702.0,92.0
2026-02-28 00:00:00+00:00,31.7,32.2,5.2,730.0,122.0
2026-02-28 01:00:00+00:00,34.0,34.6,5.9,640.0,123.0
2026-02-28 02:00:00+00:00,37.1,37.8,6.9,489.0,124.0
2026-02-28 03:00:00+00:00,40.3,41.0,7.1,366.0,131.0
2026-02-28 04:00:00+00:00,42.4,43.2,5.9,302.0,149.0
2026-02-28 05:00:00+00:00,43.1,44.0,3.9,266.0,172.0
2026-02-28 06:00:00+00:00,42.5,43.4,2.4,247.0,189.0
2026-02-28 07:00:00+00:00,41.7,42.7,1.8,250.0,196.0
2026-02-28 08:00:00+00:00,41.0,42.0,1.7,270.0,197.0
2026-02-28 09:00:00+00:00,39.1,40.3,1.8,287.0,194.0
2026-02-28 10:00:00+00:00,38.6,40.2,1.9,279.0,187.0
2026-02-28 11:00:00+00:00,33.3,34.8,2.2,268.0,176.0
2026-02-28 12:00:00+00:00,19.0,21.0,3.0,301.0,149.0
2026-02-28 13:00:00+00:00,20.3,23.2,4.3,425.0,145.0
2026-02-28 14:00:00+00:00,21.9,24.6,6.1,593.0,139.0
2026-02-28 15:00:00+00:00,25.0,26.3,7.3,715.0,133.0
2026-02-28 16:00:00+00:00,27.7,28.8,7.2,748.0,129.0
2026-02-28 17:00:00+00:00,23.9,25.0,6.5,734.0,126.0
2026-02-28 18:00:00+00:00,21.9,22.9,6.2,709.0,121.0
2026-02-28 19:00:00+00:00,22.2,23.2,6.9,676.0,113.0
2026-02-28 20:00:00+00:00,24.2,25.1,8.1,632.0,103.0
2026-02-28 21:00:00+00:00,26.4,27.3,9.0,601.0,94.0
2026-02-28 22:00:00+00:00,29.1,29.9,9.3,600.0,87.0
2026-02-28 23:00:00+00:00,31.2,31.9,9.3,612.0,81.0
2026-03-01 00:00:00+00:00,20.3,21.5,7.5,617.0,89.0
2026-03-01 01:00:00+00:00,20.0,21.3,7.4,611.0,92.0
2026-03-01 02:00:00+00:00,21.1,22.4,7.2,597.0,97.0
2026-03-01 03:00:00+00:00,18.2,19.8,6.6,561.0,107.0
2026-03-01 04:00:00+00:00,17.8,19.6,5.3,482.0,125.0
2026-03-01 05:00:00+00:00,19.1,21.0,3.6,382.0,147.0
2026-03-01 06:00:00+00:00,20.8,22.8,2.4,309.0,165.0
2026-03-01 07:00:00+00:00,22.1,24.2,1.9,290.0,175.0
2026-03-01 08:00:00+00:00,23.5,26.7,1.9,297.0,180.0
2026-03-01 09:00:00+00:00,23.5,26.8,1.9,302.0,181.0
2026-03-01 10:00:00+00:00,22.6,25.7,2.0,287.0,176.0
