Datetime,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_10m,Surface_Pressure_hPa,Total_Precipitation_mm
2026-03-29 11:00:00,32.0,66.0,5.5,1007.3,
2026-03-29 12:00:00,31.2,69.0,5.5,1007.2,
2026-03-29 13:00:00,30.5,72.0,5.5,1008.0,
2026-03-29 14:00:00,29.8,74.0,3.7,1008.8,
2026-03-29 15:00:00,29.1,77.0,1.8,1009.6,
2026-03-29 16:00:00,28.7,79.0,1.8,1009.9,
2026-03-29 17:00:00,28.4,80.0,1.8,1010.2,
2026-03-29 18:00:00,28.0,82.0,1.8,1010.4,
2026-03-29 19:00:00,27.6,83.0,1.8,1009.9,
2026-03-29 20:00:00,27.3,84.0,0.0,1009.3,
2026-03-29 21:00:00,26.9,85.0,0.0,1008.7,
2026-03-29 22:00:00,26.6,86.0,0.0,1008.7,
2026-03-29 23:00:00,26.3,87.0,1.8,1008.8,
2026-03-30 00:00:00,26.0,88.0,1.8,1008.8,
