Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-27 00:00:00+00:00,31.5,32.0,30.9,1213.0,30.0
2026-02-27 01:00:00+00:00,35.0,35.6,38.1,1267.0,35.0
2026-02-27 02:00:00+00:00,38.5,39.1,47.7,1317.0,44.0
2026-02-27 03:00:00+00:00,41.3,42.3,52.1,1276.0,57.0
2026-02-27 04:00:00+00:00,37.8,38.6,46.6,1063.0,80.0
2026-02-27 05:00:00+00:00,35.9,36.7,35.9,760.0,107.0
2026-02-27 06:00:00+00:00,34.1,35.2,27.0,528.0,128.0
2026-02-27 07:00:00+00:00,32.8,34.1,21.9,440.0,138.0
2026-02-27 08:00:00+00:00,32.4,33.9,18.5,423.0,141.0
2026-02-27 09:00:00+00:00,32.6,34.2,17.2,420.0,138.0
2026-02-27 10:00:00+00:00,32.7,34.5,18.9,413.0,126.0
2026-02-27 11:00:00+00:00,33.9,35.6,22.7,420.0,109.0
2026-02-27 12:00:00+00:00,13.1,14.1,25.6,431.0,91.0
2026-02-27 13:00:00+00:00,12.9,14.6,25.9,441.0,86.0
2026-02-27 14:00:00+00:00,13.3,15.5,26.3,456.0,80.0
2026-02-27 15:00:00+00:00,14.1,16.5,26.6,480.0,75.0
2026-02-27 16:00:00+00:00,15.1,17.6,26.8,519.0,73.0
2026-02-27 17:00:00+00:00,16.1,18.6,27.0,567.0,73.0
2026-02-27 18:00:00+00:00,16.7,19.4,27.1,611.0,71.0
2026-02-27 19:00:00+00:00,17.5,20.3,26.9,649.0,68.0
2026-02-27 20:00:00+00:00,19.0,21.9,26.6,683.0,63.0
2026-02-27 21:00:00+00:00,20.5,23.3,26.8,701.0,58.0
2026-02-27 22:00:00+00:00,22.6,24.9,27.6,690.0,51.0
2026-02-27 23:00:00+00:00,24.6,26.4,28.7,664.0,42.0
2026-02-28 00:00:00+00:00,22.5,23.2,27.1,652.0,40.0
2026-02-28 01:00:00+00:00,25.4,26.0,31.7,680.0,44.0
2026-02-28 02:00:00+00:00,31.1,32.2,37.8,723.0,50.0
2026-02-28 03:00:00+00:00,32.1,33.2,40.6,732.0,60.0
2026-02-28 04:00:00+00:00,30.6,31.7,37.0,673.0,77.0
2026-02-28 05:00:00+00:00,30.0,31.3,30.1,580.0,98.0
2026-02-28 06:00:00+00:00,29.9,31.5,24.1,506.0,113.0
2026-02-28 07:00:00+00:00,29.9,31.9,20.0,475.0,120.0
2026-02-28 08:00:00+00:00,30.9,33.1,16.8,464.0,123.0
2026-02-28 09:00:00+00:00,32.6,35.2,15.6,454.0,120.0
2026-02-28 10:00:00+00:00,35.3,38.1,17.6,437.0,110.0
2026-02-28 11:00:00+00:00,37.5,40.3,21.5,423.0,95.0
2026-02-28 12:00:00+00:00,50.5,53.8,22.7,419.0,84.0
2026-02-28 13:00:00+00:00,50.8,53.8,23.3,434.0,81.0
2026-02-28 14:00:00+00:00,51.9,55.1,24.0,460.0,77.0
2026-02-28 15:00:00+00:00,53.8,56.9,24.5,481.0,73.0
2026-02-28 16:00:00+00:00,55.2,58.3,24.3,489.0,70.0
2026-02-28 17:00:00+00:00,56.1,59.3,23.8,492.0,67.0
2026-02-28 18:00:00+00:00,57.0,60.1,23.6,501.0,64.0
2026-02-28 19:00:00+00:00,58.2,61.2,23.9,524.0,60.0
2026-02-28 20:00:00+00:00,59.4,62.4,24.5,554.0,55.0
2026-02-28 21:00:00+00:00,61.0,63.8,25.4,580.0,51.0
2026-02-28 22:00:00+00:00,62.2,64.7,26.8,592.0,47.0
2026-02-28 23:00:00+00:00,62.6,65.0,28.6,601.0,42.0
2026-03-01 00:00:00+00:00,61.5,63.6,29.1,627.0,39.0
2026-03-01 01:00:00+00:00,62.9,64.7,31.8,704.0,42.0
2026-03-01 02:00:00+00:00,66.8,68.7,35.3,797.0,46.0
2026-03-01 03:00:00+00:00,69.8,72.4,35.9,825.0,54.0
2026-03-01 04:00:00+00:00,66.6,69.2,30.9,724.0,70.0
2026-03-01 05:00:00+00:00,60.3,62.9,22.9,558.0,90.0
2026-03-01 06:00:00+00:00,56.5,59.0,16.5,430.0,105.0
2026-03-01 07:00:00+00:00,54.7,57.5,13.0,387.0,113.0
2026-03-01 08:00:00+00:00,53.8,56.6,11.0,383.0,118.0
2026-03-01 09:00:00+00:00,52.7,55.8,10.9,386.0,117.0
2026-03-01 10:00:00+00:00,52.0,55.2,13.9,388.0,109.0
